Medication Use = Yes,,,,,,,,,Medication Use = No,,,,,,,,
term...1,estimate...2,std.error...3,or...4,statistic...5,p.value...6,conf.low...7,conf.high...8,significant...9,term...10,estimate...11,std.error...12,or...13,statistic...14,p.value...15,conf.low...16,conf.high...17,significant...18
(Intercept),2.05258878,0.534928146,7.788036543,3.837129897,0.00013233,1.004129615,3.101047945,TRUE,(Intercept),3.541255002,0.998899587,34.51020239,3.545156139,0.000464553,1.583411812,5.499098192,TRUE
demo_age_years,-0.020678436,0.005456854,0.979533897,-3.789442622,0.000163224,-0.03137387,-0.009983002,TRUE,demo_age_years,-0.045232822,0.010783738,0.95577493,-4.194540318,4.66764467395871e-05,-0.066368948,-0.024096697,TRUE
demo_genderWomen,-0.116755292,0.110890954,0.889802909,-1.052883821,0.292780706,-0.334101562,0.100590979,FALSE,demo_genderWomen,0.225745068,0.245421337,1.253256129,0.919826574,0.358314358,-0.255280753,0.706770889,FALSE
demo_raceNon-Hispanic Black,-0.400239307,0.142827173,0.670159653,-2.802263025,0.005130387,-0.680180566,-0.120298047,TRUE,demo_raceNon-Hispanic Black,-0.27962465,0.412883848,0.756067478,-0.677247732,0.499713957,-1.088876992,0.529627693,FALSE
demo_raceNon-Hispanic Asian,0.081575058,0.246600464,1.084994652,0.330798475,0.740850834,-0.401761853,0.564911968,FALSE,demo_raceNon-Hispanic Asian,-0.31593493,0.533144969,0.729106892,-0.592587285,0.553837394,-1.360899069,0.72902921,FALSE
demo_raceHispanic,-0.199853872,0.158552558,0.818850401,-1.260489739,0.207712071,-0.510616885,0.110909141,FALSE,demo_raceHispanic,0.434637504,0.361659006,1.544403118,1.20178814,0.230354762,-0.274214148,1.143489156,FALSE
demo_raceOther,-0.154754778,0.225402662,0.856625215,-0.686570323,0.492676192,-0.596543995,0.287034439,FALSE,demo_raceOther,-0.209871909,0.425918182,0.810688081,-0.492751703,0.62249515,-1.044671545,0.624927727,FALSE
HIQ011Yes,0.595057559,0.262548354,1.813135304,2.266468441,0.023675119,0.080462785,1.109652332,TRUE,HIQ011Yes,0.331351774,0.47233584,1.392849674,0.701517322,0.483509065,-0.594426472,1.25713002,FALSE
cc_cvd_anyYes,-0.098242075,0.119776068,0.906429453,-0.820214559,0.412205089,-0.333003168,0.136519019,FALSE,cc_cvd_anyYes,-0.100684702,0.419495634,0.904218086,-0.240013707,0.810566739,-0.922896144,0.72152674,FALSE
cc_diabetesYes,-0.006625927,0.118428844,0.993395976,-0.055948591,0.955395205,-0.238746461,0.225494607,FALSE,cc_diabetesYes,0.192804041,0.346158512,1.212645142,0.556981945,0.577998114,-0.485666642,0.871274725,FALSE
LBXBPB,-0.168951595,0.059462246,0.844549783,-2.841325491,0.005677988,-0.285497597,-0.052405593,TRUE,LBXBPB,0.132466648,0.209777871,1.141640939,0.631461492,0.528666522,-0.27869798,0.543631276,FALSE
LBXTC,-0.001799379,0.001339967,0.998202239,-1.342853772,0.180034476,-0.004425714,0.000826955,FALSE,LBXTC,-0.006008789,0.003102112,0.994009228,-1.936998978,0.054217505,-0.012088929,7.13517583145551e-05,FALSE
phq9_categoryMinimal,-0.182343153,0.144177952,0.833315336,-1.264708998,0.206243159,-0.46493194,0.100245633,FALSE,phq9_categoryMinimal,-0.190615548,0.31863059,0.826450257,-0.598233672,0.550071218,-0.815131505,0.433900409,FALSE
phq9_categoryModerate,0.228749774,0.251435376,1.257027459,0.909775615,0.36309605,-0.264063563,0.721563111,FALSE,phq9_categoryModerate,-0.749054761,0.50115536,0.472813263,-1.494655792,0.135895656,-1.731319266,0.233209744,FALSE
phq9_categoryModerately Severe,-0.10077866,0.300143478,0.904133131,-0.335768282,0.737099484,-0.689059878,0.487502557,FALSE,phq9_categoryModerately Severe,-0.241537263,0.643495426,0.785419536,-0.375351951,0.707676284,-1.502788298,1.019713771,FALSE
phq9_categorySevere,-0.06686684,0.455615701,0.93531974,-0.146761493,0.883438945,-0.959873615,0.826139934,FALSE,phq9_categorySevere,0.45198914,1.007936484,1.571434883,0.448430181,0.654783266,-1.523566369,2.427544649,FALSE
cc_bmi25 to <30,0.226053282,0.157658789,1.25364246,1.433813389,0.152026774,-0.082957944,0.535064508,FALSE,cc_bmi25 to <30,0.653744257,0.329920907,1.92272655,1.981518123,0.048328898,0.007099279,1.300389235,TRUE
cc_bmi30 to <35,0.516800076,0.170738177,1.676653892,3.026857182,0.002606152,0.18215325,0.851446902,TRUE,cc_bmi30 to <35,0.279392784,0.363856619,1.322326631,0.767865059,0.443119976,-0.433766189,0.992551758,FALSE
cc_bmi35+,0.296097264,0.168611633,1.344600932,1.75609037,0.079493932,-0.034381536,0.626576064,FALSE,cc_bmi35+,-0.135792323,0.369770125,0.873023921,-0.367234436,0.713753456,-0.860541767,0.588957121,FALSE
