"term","estimate","std.error","or","statistic","p.value","conf.low","conf.high","significant"
"(Intercept)",6.10530737960598,0.48352616292535,448.23039716552,12.6266329471577,3.6177136172474e-31,5.1575961002723,7.05301865893967,TRUE
"demo_age_years",-0.049693134884305,0.00272192986591177,0.951521368419527,-18.2565816653248,1.52990369441231e-70,-0.055028117421492,-0.0443581523471179,TRUE
"demo_genderWomen",-0.00785984965256408,0.0787822675708502,0.992170958197853,-0.0997667355219954,0.920544501089059,-0.16227309409143,0.146553394786302,FALSE
"demo_raceNon-Hispanic Black",-0.791375362696971,0.105446219866921,0.45322102313551,-7.5050140602075,2.06629696155188e-13,-0.998049953636136,-0.584700771757807,TRUE
"demo_raceNon-Hispanic Asian",-0.241256726305254,0.163618061353786,0.785639906065653,-1.47451158086754,0.140532336786668,-0.561948126558674,0.0794346739481666,FALSE
"demo_raceHispanic",-0.23640893114691,0.10433220414536,0.789457774042415,-2.26592482238307,0.023669681709563,-0.440900051271817,-0.0319178110220036,TRUE
"demo_raceOther",-0.320050660124893,0.141732120836711,0.726112251204578,-2.25813780415819,0.0241277886795972,-0.597845616964845,-0.0422557032849399,TRUE
"OHQ845Good and Above",0.109910115300969,0.0784129214774906,1.11617773864969,1.40168371781072,0.161542025425479,-0.0437792107949128,0.26359944139685,FALSE
"cc_cvd_anyYes",-0.0861779941443808,0.102668405686439,0.917430919354785,-0.839381828988152,0.401740590224302,-0.287408069289801,0.11505208100104,FALSE
"cc_diabetesYes",-0.0353016333310039,0.0927409290915388,0.965314201401687,-0.380647829138739,0.703511663168325,-0.21707385435042,0.146470587688412,FALSE
"LBXRBCSI",-0.191381829532078,0.0788477461988928,0.825817206546463,-2.42723272075931,0.0153914625162044,-0.345923412081908,-0.0368402469822479,TRUE
"LBXBPB",-0.0789542187995286,0.0265726417394146,0.924082229070482,-2.97125967277908,0.00305939330378618,-0.131036596608781,-0.026871840990276,TRUE
"LBXTC",-0.00274199747667586,0.000893261715381897,0.997261758364785,-3.06964625199857,0.00252512180409752,-0.00449279043882438,-0.00099120451452734,TRUE
"LBDMONO",-0.145052112357869,0.199822830109297,0.864977215933987,-0.725903603099458,0.468138303026861,-0.536704859372091,0.246600634656352,FALSE
"weight_change",0.00193486493997825,0.00194870756954418,1.00193673799899,0.992896507520021,0.321482149985826,-0.00188460189632835,0.00575433177628484,FALSE
"cc_smokeFormer",0.116507291355158,0.0828176427250365,1.12356570275392,1.40679313636075,0.159595273058267,-0.0458152883859131,0.27882987109623,FALSE
"cc_smokeCurrent",-0.1680237107821,0.101213025612005,0.845333790921715,-1.66009967359548,0.0969917461462341,-0.366401240981629,0.0303538194174292,FALSE
"cc_bmi25 to <30",-0.0322377209601145,0.0957950704401482,0.968276375128221,-0.336527973850766,0.736546449523062,-0.219996059022805,0.155520617102576,FALSE
"cc_bmi30 to <35",-0.0107162084423644,0.109837803368873,0.98934100556454,-0.097563936219442,0.922334898735526,-0.225998303045356,0.204565886160627,FALSE
"cc_bmi35+",-0.35643864116102,0.110118070593844,0.700165431489589,-3.23687691982632,0.00125145478552335,-0.572270059524954,-0.140607222797085,TRUE
