"Outcome","Feature","Coefficient_Pre","Coefficient_Post","Coefficient_Overall"
"bp_control_130_80","(Intercept)",-8.14721761290836,-8.0355341415761,-8.11882001162837
"bp_control_130_80","(Intercept)",0,0,0
"bp_control_130_80","(Intercept)",0,0,0
"bp_control_130_80","(Intercept)",-8.14721761290836,-8.0355341415761,-8.11882001162837
"bp_control_130_80","(Intercept)",0,0,0
"bp_control_130_80","(Intercept)",0,0,0
"bp_control_130_80","(Intercept)",-8.14721761290836,-8.0355341415761,-8.11882001162837
"bp_control_130_80","(Intercept)",0,0,0
"bp_control_130_80","(Intercept)",0,0,0
"bp_control_130_80","(Intercept)",-8.14721761290836,-8.0355341415761,-8.11882001162837
"bp_control_130_80","bp_cat_meds_excluded_SBP120andDBP80mmHg",0,0,0
"bp_control_130_80","bp_cat_meds_excluded_SBP120andDBP80mmHg",0,0,0
"bp_control_130_80","bp_cat_meds_excluded_SBP120andDBP80mmHg",-8.14721761290836,-8.0355341415761,-8.11882001162837
"bp_control_130_80","bp_cat_meds_excluded_SBP120andDBP80mmHg",0,0,0
"bp_control_130_80","bp_cat_meds_excluded_SBP120andDBP80mmHg",0,0,0
"bp_control_130_80","bp_cat_meds_excluded_SBP120andDBP80mmHg",-8.14721761290836,-8.0355341415761,-8.11882001162837
"bp_control_130_80","bp_cat_meds_excluded_SBP120andDBP80mmHg",0,0,0
"bp_control_130_80","bp_cat_meds_excluded_SBP120andDBP80mmHg",0,0,0
"bp_control_130_80","bp_cat_meds_excluded_SBP120andDBP80mmHg",-8.14721761290836,-8.0355341415761,-8.11882001162837
"bp_control_130_80","bp_cat_meds_excluded_SBP120andDBP80mmHg",0,0,0
"bp_control_130_80","bp_cat_meds_excluded_SBPof120to130andDBP80mmHg",0,0,0
"bp_control_130_80","bp_cat_meds_excluded_SBPof120to130andDBP80mmHg",-8.14721761290836,-8.0355341415761,-8.11882001162837
"bp_control_130_80","bp_cat_meds_excluded_SBPof120to130andDBP80mmHg",0,0,0
"bp_control_130_80","bp_cat_meds_excluded_SBPof120to130andDBP80mmHg",0,0,0
"bp_control_130_80","bp_cat_meds_excluded_SBPof120to130andDBP80mmHg",-8.14721761290836,-8.0355341415761,-8.11882001162837
"bp_control_130_80","bp_cat_meds_excluded_SBPof120to130andDBP80mmHg",0,0,0
"bp_control_130_80","bp_cat_meds_excluded_SBPof120to130andDBP80mmHg",0,0,0
"bp_control_130_80","bp_cat_meds_excluded_SBPof120to130andDBP80mmHg",-8.14721761290836,-8.0355341415761,-8.11882001162837
"bp_control_130_80","bp_cat_meds_excluded_SBPof120to130andDBP80mmHg",0,0,0
"bp_control_130_80","bp_cat_meds_excluded_SBPof120to130andDBP80mmHg",0,0,0
