"Outcome","Feature","Coefficient_Pre","Coefficient_Post","Coefficient_Overall"
"bp_control_accaha","(Intercept)",-16.601903505036,-16.790833140679,-21.0978207588451
"bp_control_accaha","(Intercept)",0,0,0
"bp_control_accaha","(Intercept)",-0.195732694921765,-1.64411232467556,-1.22818811396145
"bp_control_accaha","(Intercept)",0,0.130779395535148,0.036801768600784
"bp_control_accaha","(Intercept)",0,0.26893300703279,0.168141868390436
"bp_control_accaha","(Intercept)",0,0,0
"bp_control_accaha","(Intercept)",0,0,0.303595963770159
"bp_control_accaha","(Intercept)",0.138816271979639,-0.0656566642475866,0
"bp_control_accaha","(Intercept)",0,0,0
"bp_control_accaha","(Intercept)",0,0,0
"bp_control_accaha","bp_sys_mean",0,0,0
"bp_control_accaha","bp_sys_mean",0,0,0
"bp_control_accaha","bp_sys_mean",0.440574598072585,0,0
"bp_control_accaha","bp_sys_mean",-0.157275857528995,0,0
"bp_control_accaha","bp_sys_mean",0,-0.0707278479221279,-0.197397077733239
"bp_control_accaha","bp_sys_mean",0,0,0
"bp_control_accaha","bp_sys_mean",0,0,0
"bp_control_accaha","bp_sys_mean",-0.356115455348554,0,-0.0875900712019736
"bp_control_accaha","bp_sys_mean",0,0,0
"bp_control_accaha","bp_sys_mean",-0.00851994493841902,-0.0194481521036844,0
"bp_control_accaha","DR1DAY",0.00357713517912092,0,0.0859823341612962
"bp_control_accaha","DR1DAY",-2.06414219907088,0,-0.86796634435685
"bp_control_accaha","DR1DAY",0.0575378969027545,0.261552142655196,0.263377544392871
"bp_control_accaha","DR1DAY",0,-2.38416503766699,-0.904543266532824
"bp_control_accaha","DR1DAY",0,0,0
"bp_control_accaha","DR1DAY",0,0,0
"bp_control_accaha","DR1DAY",0,0.0382565228167861,0
"bp_control_accaha","DR1DAY",0,0,0
"bp_control_accaha","DR1DAY",0,0,0
"bp_control_accaha","DR1DAY",-0.0898788143974149,-0.0133118489726371,-0.103160680845583
"bp_control_accaha","BMXBMI",0,0,0
"bp_control_accaha","BMXBMI",0,0,0
"bp_control_accaha","BMXBMI",0.0106462414320376,0,0
"bp_control_accaha","BMXBMI",0,0,-0.0326471705998551
"bp_control_accaha","BMXBMI",0,0,0
"bp_control_accaha","BMXBMI",0,-0.132997339758209,0
"bp_control_accaha","BMXBMI",0,0,0
"bp_control_accaha","BMXBMI",0,0,0
"bp_control_accaha","BMXBMI",0,0,0
"bp_control_accaha","BMXBMI",0,0,0
"bp_control_accaha","BMXLEG",0,0,0
"bp_control_accaha","BMXLEG",0,0,0
"bp_control_accaha","BMXLEG",0,0,0
"bp_control_accaha","BMXLEG",0.044362884678645,0,-0.1261345257774
"bp_control_accaha","BMXLEG",0,0,0
"bp_control_accaha","BMXLEG",0,0,0
"bp_control_accaha","BMXLEG",0,-0.07356884191969,0
"bp_control_accaha","BMXLEG",0,0,0
"bp_control_accaha","BMXLEG",0,0,0
"bp_control_accaha","BMXLEG",-0.137004548621185,0,0
"bp_control_accaha","BPXPLS",0,0,0
"bp_control_accaha","BPXPLS",0.275102483967376,0,0.188905284335032
"bp_control_accaha","BPXPLS",0,0,0
"bp_control_accaha","BPXPLS",0,0,0
"bp_control_accaha","BPXPLS",0,0,0
"bp_control_accaha","BPXPLS",0,0,0
"bp_control_accaha","BPXPLS",0,0,0.15232781165501
"bp_control_accaha","BPXPLS",0,0,0
"bp_control_accaha","BPXPLS",0,0,0
"bp_control_accaha","BPXPLS",-0.362061329343269,-0.262600327121361,-0.299486116461593
"bp_control_accaha","BPXSY1",0,0,0
"bp_control_accaha","BPXSY1",9.34406338016562,7.62152903780024,10.9557570999528
"bp_control_accaha","BPXSY1",0,0,0
"bp_control_accaha","BPXSY1",0,0,0
"bp_control_accaha","BPXSY1",0,0,0
"bp_control_accaha","BPXSY1",0.222250360033062,0,0
"bp_control_accaha","BPXSY1",0,0,0
"bp_control_accaha","BPXSY1",0,1.79226781537215,1.71885290490393
"bp_control_accaha","BPXSY1",0,0,0
"bp_control_accaha","BPXSY1",0,0,0
"bp_control_accaha","BPXDI1",0,0,0
"bp_control_accaha","BPXDI1",0,0,0
"bp_control_accaha","BPXDI1",0,-0.646849261447472,-0.598418715819258
"bp_control_accaha","BPXDI1",0,0.0156664379410238,0.238426207307639
"bp_control_accaha","BPXDI1",21.910239317049,18.4287512069252,23.7541933080854
"bp_control_accaha","BPXDI1",23.1270508178952,20.6880755708073,25.3734615570161
"bp_control_accaha","BPXDI1",0,0,0
"bp_control_accaha","BPXDI1",-0.107229079292087,0,-0.0820415416643394
"bp_control_accaha","BPXDI1",0,0,0
"bp_control_accaha","BPXDI1",0,0,0
"bp_control_accaha","BPXSY2",0,0,0
"bp_control_accaha","BPXSY2",0,0,0
"bp_control_accaha","BPXSY2",0,0,0
"bp_control_accaha","BPXSY2",0,0,0
