"Feature","Coefficient","Phase"
"(Intercept)",6.8018758016371,"pre"
"bp_sys_mean",-0.659417067841136,"pre"
"bp_cat_meds_excluded_SBPof130to140orDBP80to90mmHg",0.552064608412304,"pre"
"bp_cat_meds_excluded_SBPof140to160orDBP90to100mmHg",-13.850086978262,"pre"
"bp_cat_meds_excluded_SBP160plusorDBP100plusmmHg",-12.4519833450376,"pre"
"(Intercept)",6.91727028332024,"post"
"bp_sys_mean",-0.787397480859067,"post"
"bp_cat_meds_excluded_SBPof130to140orDBP80to90mmHg",0.392555846267906,"post"
"bp_cat_meds_excluded_SBPof140to160orDBP90to100mmHg",-13.8493817926416,"post"
"bp_cat_meds_excluded_SBP160plusorDBP100plusmmHg",-12.2659299062796,"post"
"(Intercept)",6.78966139777476,"overall"
"bp_sys_mean",-0.713863580828565,"overall"
"bp_cat_meds_excluded_SBPof130to140orDBP80to90mmHg",0.545806235684488,"overall"
"bp_cat_meds_excluded_SBPof140to160orDBP90to100mmHg",-13.8044699688173,"overall"
"bp_cat_meds_excluded_SBP160plusorDBP100plusmmHg",-12.3271305847336,"overall"
