"Feature","Coefficient","Phase"
"(Intercept)",-16.601903505036,"pre"
"bp_sys_mean",-0.195732694921765,"pre"
"DR1DAY",0.138816271979639,"pre"
"BMXBMI",0.440574598072585,"pre"
"BMXLEG",-0.157275857528995,"pre"
"BPXPLS",-0.356115455348554,"pre"
"BPXSY1",-0.00851994493841902,"pre"
"BPXDI1",0.00357713517912092,"pre"
"BPXSY2",-2.06414219907088,"pre"
"BPXDI2",0.0575378969027545,"pre"
"LBXEOPCT",-0.0898788143974149,"pre"
"LBDMONO",0.0106462414320376,"pre"
"LBXPLTSI",0.044362884678645,"pre"
"URXUCR",-0.137004548621185,"pre"
"HOD050",0.275102483967376,"pre"
"demo_age_cat_18to44",-0.362061329343269,"pre"
"demo_age_cat_65to74",9.34406338016562,"pre"
"demo_race_NonplusHispanicAsian",0.222250360033062,"pre"
"bp_cat_meds_excluded_SBP120andDBP80mmHg",21.910239317049,"pre"
"bp_cat_meds_excluded_SBPof120to130andDBP80mmHg",23.1270508178952,"pre"
"bp_cat_meds_excluded_SBPof140to160orDBP90to100mmHg",-0.107229079292087,"pre"
"bp_med_recommended_accaha_No",6.40051639201397,"pre"
"bp_med_recommended_accaha_Yes",-0.0790101360170009,"pre"
"bp_med_n_class_One",0.24265257366059,"pre"
"bp_med_diur_thz_No",-0.725794252455488,"pre"
"htn_resistant_accaha_No",0.403298295934245,"pre"
"htn_resistant_accaha_Yes",-2.45062958764923e-15,"pre"
"cc_ckd_No",0.0658860961953875,"pre"
"cc_ckd_Yes",-0.00413713303071226,"pre"
"DSD010AN_1",0.416571283378799,"pre"
"LBXHA_1",0.451663656214041,"pre"
"LBXHA_2",-0.00608713214914128,"pre"
"BPQ030_2",0.124381607475085,"pre"
"BPQ070_3",1.04258197364572,"pre"
"BPQ090D_1",0.0367603086020829,"pre"
"CDQ010_1",-0.377405821413482,"pre"
"HSQ590_1",-0.140281674525298,"pre"
"HUQ010_2",0.167051355225774,"pre"
"HOQ065_1",0.0115523634039431,"pre"
"MCQ160A_1",0.145411296373854,"pre"
"MCQ220_1",-0.17577232479661,"pre"
"OSQ010B_1",-0.204528527892066,"pre"
"WHQ030_3",-0.0321320586995782,"pre"
"WHQ070_1",0.590782246069742,"pre"
"DPQ010_0",0.00443020066796609,"pre"
"SLQ050_1",-0.0262160818154399,"pre"
