Feature,Importance,f1-score
bp_cat_meds_included,0.1825168346762166,
BPXSY3,0.10476232345350132,
BMXBMI,0.10036589011310318,
bp_med_angioten,0.07109285929842729,
MCQ160C,0.0633457294826772,
BPQ020,0.042376838438705565,
MCQ160B,0.042135521761937134,
cc_cvd_chd,0.03589582209897572,
MCQ160A,0.03240315228599116,
bp_sys_mean,0.031595623955735154,
ALQ130,0.027872503114994625,
bp_med_pills_gteq_2,0.027084953280901714,
BPQ090D,0.025446780885770612,
BPXPLS,0.017166529382532124,
MCQ160E,0.01674932702369817,
LBXLYPCT,0.013974388591651978,
demo_age_years,0.012932675526577902,
BPXPTY,0.012467138368864296,
INDFMMPC,0.01148730573715198,
bp_med_combination,0.010692127111841934,
htn_resistant_accaha_thz,0.010546156910854516,
bp_med_ccb,0.010105969421538512,
BPXML1,0.008949127643939223,
BPAEN1,0.008501692511690688,
bp_med_recommended_accaha,0.008220317243847619,
PFQ059,0.006668654241673861,
MCQ092,0.006096775131764444,
bp_med_use,0.005948065404207366,
cc_bmi,0.0056367463605364486,
LBXMOPCT,0.005453112074741983,
cc_smoke,0.005361885629373625,
HSQ590,0.003997803498745711,
OSQ060,0.0033886189748164332,
HUQ030,0.0030780161242894887,
WHD120,0.0029817362057356226,
CDQ010,0.0029614435320492504,
LBDHDD,0.0018978894921907895,
PUQ110,0.0018254437423879917,
MCQ160F,0.0017695000569642966,
bp_med_n_pills,0.001703274523220779,
DIQ010,0.001478119666148283,
cc_diabetes,0.0014270996524450086,
HOD050,0.0013375429589662492,
LBDTCSI,0.0012862661314726146,
LBXHA,0.0012327036307358547,
OSQ010A,0.0008258312747013889,
DPQ030,0.0007916168003066967,
LBXGH,0.0007796172530211542,
MCQ160D,0.0007773414563573328,
DS1DS,0.0004247889310667833,
cc_cvd_ascvd,0.00023823481533946056,
htn_resistant_jnc7_thz,0.00023686777011267652,
MCQ053,0.00021505406251374817,
cc_cvd_any,0.00019850582250761245,
htn_aware,0.00019107566255414536,
LBXMPSI,0.00018882337456778796,
SLQ050,0.00017921395448507844,
cc_ckd,0.00012662686607232425,
BPAEN3,8.244390086846454e-05,
MCQ220,5.968839661382055e-05,
bp_med_beta,5.8541061369379434e-05,
SMAQUEX,4.6053113395850064e-05,
OSQ010C,4.421718769380236e-05,
bp_med_central,4.179377136404539e-05,
DPQ070,3.797391580860239e-05,
MCQ010,3.765500488921703e-05,
MCQ160L,2.8810550570089384e-05,
BPQ080,2.1800784677177433e-05,
bp_med_ccb_dh,1.4888143686925644e-05,
DS1AN,1.424268297653202e-05,
svy_strata,1.1224363747497178e-05,
LBXRBCSI,1.0857630507554928e-05,
WHD010,1.0692485732802618e-05,
PUQ100,1.0361065291894102e-05,
SEQN,9.45128349863341e-06,
BPQ040A,9.2368236404792e-06,
BMXWT,8.475262491393258e-06,
DR2DRSTZ,8.387363894912095e-06,
IMQ020,6.452483498579903e-06,
HOQ065,5.946071093702334e-06,
MCQ080,4.947538958324216e-06,
DS1ANCNT,4.544722157281861e-06,
demo_pregnant,3.268181001331474e-06,
bp_med_diur_thz,3.0247101080032503e-06,
LBXMCHSI,2.9681296563689286e-06,
BPQ060,1.7591182945984981e-06,
LBXNEPCT,1.5763667772675275e-06,
HIQ210,1.4533873599220849e-06,
DR1DAY,9.271288263210545e-07,
demo_race_black,5.054563050413644e-07,
LBXHCT,4.970961241035881e-07,
DPQ060,4.407825969758125e-07,
OSQ010B,4.33319839965896e-07,
DR1EXMER,4.3031426053495873e-07,
DSDCOUNT.x,4.0868942750371877e-07,
BPQ070,3.8272462264448515e-07,
LBDBANO,3.5039353985084214e-07,
htn_resistant_jnc7,3.472690150310817e-07,
LBDNENO,3.2762805296643463e-07,
demo_race,2.0390065898252934e-07,
svy_psu,1.2639790714390444e-07,
bp_med_renin_inhibitors,0.0,
bp_med_vasod,0.0,
SMQ020,0.0,
bp_med_diur_loop,0.0,
bp_med_diur_Ksparing,0.0,
bp_med_ccb_ndh,0.0,
htn_resistant_accaha,0.0,
LBXHGB,0.0,
DIQ050,0.0,
bp_med_recommended_jnc7,0.0,
svy_year,0.0,
demo_age_cat,0.0,
PFQ090,0.0,
demo_gender,0.0,
bp_dia_mean,0.0,
bp_cat_meds_excluded,0.0,
DPQ090,0.0,
DPQ080,0.0,
DPQ040,0.0,
bp_med_n_class,0.0,
HUQ090,0.0,
DPQ020,0.0,
bp_med_aldo,0.0,
bp_med_alpha,0.0,
DPQ050,0.0,
HUQ010,0.0,
bp_med_ace,0.0,
cc_cvd_hf,0.0,
BPQ030,0.0,
WHD050,0.0,
LBXMC,0.0,
WHD110,0.0,
BPXSY1,0.0,
BPXDI1,0.0,
WHQ070,0.0,
BPXSY2,0.0,
BPXDI2,0.0,
BPAEN2,0.0,
BPXDI3,0.0,
WHD020,0.0,
LBXWBCSI,0.0,
WHQ030,0.0,
LBXMCVSI,0.0,
LBXEOPCT,0.0,
LBXBAPCT,0.0,
LBDLYMNO,0.0,
LBDMONO,0.0,
LBDEONO,0.0,
BPXPULS,0.0,
LBXRDW,0.0,
BPACSZ,0.0,
BPAARM,0.0,
cc_cvd_mi,0.0,
DPQ010,0.0,
DBQ330,0.0,
URXUCR,0.0,
DSDANCNT,0.0,
DSD010AN,0.0,
DR1DRSTZ,0.0,
DR1LANG,0.0,
URXUMA,0.0,
DS1DSCNT,0.0,
LBXPLTSI,0.0,
BMXHT,0.0,
WHD140,0.0,
BMXLEG,0.0,
BMXARML,0.0,
BMXARMC,0.0,
BMXWAIST,0.0,
WHD130,0.0,
,,1.0
