Feature,Importance,f1-score
bp_cat_meds_excluded,0.2480803046170503,
BPXSY1,0.19381554704051793,
BPXSY3,0.15578218671525076,
SEQN,0.07303627942606708,
demo_age_cat,0.06035075076320794,
cc_diabetes,0.05857814273567724,
bp_cat_meds_included,0.02679660174193748,
cc_cvd_ascvd,0.024342078801645038,
BPQ030,0.021684613784802794,
BMXARMC,0.012423691627617495,
cc_ckd,0.01181909172773406,
BPXDI2,0.011224268820764525,
demo_gender,0.01075522288919361,
bp_med_ccb_dh,0.009967774782435601,
bp_med_renin_inhibitors,0.008745281209823744,
HUQ090,0.008655649614916485,
DSDANCNT,0.006625654355733342,
BPXDI1,0.005743131612036953,
bp_med_pills_gteq_2,0.0054690009177686015,
BPAEN1,0.0043461364633077945,
LBDLYMNO,0.0029903342892574547,
PFQ059,0.002716560686412782,
DPQ050,0.0023548752634743077,
DSD010AN,0.0021829361964943762,
HUQ030,0.0020491586150621346,
WHD010,0.0018080006136714712,
DPQ040,0.00175096617097819,
CDQ010,0.001670535494510834,
DR1LANG,0.0015749686914429172,
OSQ010C,0.0012933818837926859,
cc_cvd_mi,0.001249781959506813,
MCQ160F,0.0011299056739700402,
bp_med_vasod,0.0010101819069719485,
LBXHA,0.0009705008639840728,
MCQ160L,0.0009247695852837906,
WHD140,0.0008422550947427356,
MCQ160B,0.0007234696918098672,
MCQ080,0.0007174124141309682,
LBXEOPCT,0.0007109473171092103,
MCQ160C,0.0006779339474533628,
BPACSZ,0.0006499637335116014,
svy_psu,0.0006140525760368857,
DS1AN,0.000530878030582875,
cc_cvd_any,0.0005278823443655972,
DPQ010,0.0005196702373331096,
IMQ020,0.0005119827385246346,
cc_cvd_hf,0.0004997299618785906,
BMXLEG,0.00044550556966577496,
SLQ050,0.00042583240642324316,
bp_med_angioten,0.00040002900721320967,
bp_dia_mean,0.00037833414609497355,
BMXWT,0.0003775597844084977,
OSQ010A,0.0003668122428439471,
LBXPLTSI,0.000348698015470071,
HUQ010,0.0003334193784871554,
WHQ030,0.0002785506951453024,
BPQ040A,0.00027238185549657,
bp_med_diur_loop,0.00026761031070850465,
DPQ070,0.0002380579469673386,
svy_strata,0.00023442666749559315,
DPQ060,0.00023417565588252588,
LBXMCHSI,0.00021792462151563787,
HSQ590,0.0001881826958427982,
BPAARM,0.0001874863065035306,
DPQ030,0.0001858823317410486,
BPXPULS,0.00017925720109761623,
LBXGH,0.00016903255366836078,
OSQ010B,0.00015568364500982056,
BMXWAIST,0.00014441023760194944,
SMQ020,0.00014368580044454748,
bp_med_ccb,0.00014156407578263267,
bp_med_n_pills,0.0001224443257591481,
bp_med_central,0.00011954790961957125,
LBDHDD,0.00011646027050083043,
LBXHGB,0.00011109109635201382,
MCQ160E,0.00011059683583326067,
BMXARML,0.00010077209302370661,
LBDNENO,9.894231632280056e-05,
BPXPTY,8.604846252096654e-05,
LBDMONO,8.551244950352123e-05,
BPQ020,7.415697836923625e-05,
BPXML1,6.379090031243047e-05,
LBXHCT,6.164865696427624e-05,
htn_aware,6.038080644481284e-05,
DPQ080,5.782891547057666e-05,
DS1ANCNT,5.7828113381355034e-05,
HOD050,5.70379730988499e-05,
URXUMA,5.638168403677925e-05,
MCQ010,5.493666541389028e-05,
DIQ050,5.4603686504286685e-05,
bp_med_diur_Ksparing,5.185383705612188e-05,
bp_med_recommended_jnc7,4.4225917217544765e-05,
demo_age_years,4.220525912866877e-05,
LBXLYPCT,4.071434701822012e-05,
MCQ160A,4.044989432335885e-05,
DPQ020,3.3368507650671116e-05,
INDFMMPC,3.305092086127432e-05,
WHD110,3.112811982794517e-05,
cc_bmi,2.737151558255034e-05,
bp_med_alpha,2.537236426861255e-05,
BPXSY2,2.3409544356255854e-05,
DSDCOUNT.x,2.1237879022738184e-05,
MCQ053,2.0613010725468644e-05,
bp_med_diur_thz,2.043518931523783e-05,
MCQ092,1.9985442936563085e-05,
BMXHT,1.9813053830494795e-05,
DIQ010,1.917131924655725e-05,
BPQ080,1.8843185890420775e-05,
bp_med_beta,1.8037542029338446e-05,
DR1DAY,1.4844138104445923e-05,
WHD020,1.2020897947539661e-05,
DR1EXMER,1.0884384488459213e-05,
bp_med_recommended_accaha,1.0818688656345816e-05,
LBDEONO,1.035839754591195e-05,
BMXBMI,9.916785576731774e-06,
SMAQUEX,9.266470145763907e-06,
bp_med_ace,9.156053838554534e-06,
LBXMCVSI,7.64887241375911e-06,
LBXRBCSI,6.7745938010954015e-06,
MCQ220,6.4688499658593485e-06,
DR2DRSTZ,6.1262398801268e-06,
PUQ110,5.693998404501575e-06,
WHD050,5.652975620595302e-06,
LBXMC,4.275773938114042e-06,
LBDBANO,2.115132371244302e-06,
demo_race_black,2.1133551376016045e-06,
URXUCR,1.5063408933430076e-06,
demo_race,9.102415432615258e-07,
BPQ090D,9.009131675511217e-07,
LBDTCSI,8.707556026620496e-07,
DS1DSCNT,4.287250338831671e-07,
demo_pregnant,4.0250666569667104e-07,
svy_year,3.1660657497587925e-07,
LBXMPSI,1.4823681065753715e-07,
WHD120,9.658733612269997e-08,
bp_med_n_class,3.293826862423726e-08,
LBXMOPCT,4.769253457009099e-09,
BPAEN2,0.0,
LBXNEPCT,0.0,
bp_med_use,0.0,
DR1DRSTZ,0.0,
WHQ070,0.0,
DS1DS,0.0,
bp_sys_mean,0.0,
LBXBAPCT,0.0,
WHD130,0.0,
htn_resistant_accaha,0.0,
LBXWBCSI,0.0,
BPAEN3,0.0,
DPQ090,0.0,
BPXPLS,0.0,
PUQ100,0.0,
BPXDI3,0.0,
LBXRDW,0.0,
DBQ330,0.0,
