Feature,Importance,f1-score
BPQ090D,0.16482765418477227,
BPXSY2,0.1061271741506333,
bp_sys_mean,0.0943976015144439,
DPQ030,0.0774215041511921,
bp_dia_mean,0.0674256009893264,
IMQ020,0.05889958871280813,
htn_aware,0.056499166030871024,
BPXSY3,0.044719828949441834,
bp_cat_meds_excluded,0.04341341670457741,
OSQ010C,0.04162820536616677,
bp_cat_meds_included,0.026236827921943894,
DSDANCNT,0.023104621226082,
LBXWBCSI,0.016726753095543462,
BMXLEG,0.01537435615059604,
cc_cvd_mi,0.0150588462281624,
DPQ010,0.014325031666802022,
bp_med_ccb_dh,0.01149852314499708,
HUQ030,0.009380979991507903,
BPQ060,0.009361711291808582,
DS1AN,0.00652827706297173,
cc_cvd_ascvd,0.006522058889272682,
cc_bmi,0.004176698527193589,
LBXMOPCT,0.004097898748639449,
BPQ080,0.004010124925417655,
SLQ050,0.0038173750677734457,
SEQN,0.0035147973325159623,
cc_diabetes,0.003072466194848517,
LBDBANO,0.0028076422967951435,
LBXGH,0.0027511047294570758,
SMAQUEX,0.0026713655115428434,
DSD010AN,0.0024941242481750655,
htn_resistant_jnc7_thz,0.0024327470398196644,
MCQ160B,0.002355978176266566,
BMXBMI,0.0023496506402920555,
bp_med_ccb,0.002283527879787567,
DS1DSCNT,0.002183037434824217,
demo_pregnant,0.0021388977584402757,
MCQ160C,0.002059311784871206,
bp_med_alpha,0.0019571501405554336,
BPXSY1,0.0017961282183857077,
LBXHA,0.0017492270833882433,
BPACSZ,0.0016507657408999506,
BMXHT,0.001613340724712796,
BPQ040A,0.0016034100366585544,
BPXPTY,0.001571945989065974,
DIQ050,0.001400033672046513,
LBXEOPCT,0.0013532332825822936,
HSQ590,0.0013445552303290409,
PFQ059,0.0013356357709802937,
BPAARM,0.0012301040166663758,
WHD140,0.0011968584294680589,
DPQ090,0.0011502941760123365,
DBQ330,0.001127042630210195,
LBDNENO,0.0011164266399685742,
URXUCR,0.0010687730786520825,
WHD010,0.0010154579738425598,
LBXMCVSI,0.0009861086310957395,
LBXHGB,0.0009482195777336409,
BPAEN3,0.000887981585075779,
HIQ210,0.0008760253654064125,
svy_strata,0.0007525731414359253,
HOQ065,0.000735880440364473,
BMXWAIST,0.0006199585854148853,
bp_med_recommended_accaha,0.0006190154713805198,
bp_med_aldo,0.0005898052034172538,
DPQ060,0.0005734568981512579,
bp_med_ccb_ndh,0.0005051007404750264,
BPAEN1,0.0004938335674227329,
bp_med_pills_gteq_2,0.0004683179270719334,
MCQ160D,0.0004508194345133832,
MCQ220,0.00044463949300513556,
INDFMMPC,0.0003961948245538246,
WHD050,0.00037774035383433645,
WHD110,0.0003556120845837124,
OSQ010B,0.00033564952993198435,
bp_med_angioten,0.00032531498479679185,
bp_med_recommended_jnc7,0.0002954613355839358,
bp_med_use,0.0002465011205316413,
DR1DAY,0.00024186975291015157,
LBXLYPCT,0.00023714770596627507,
OSQ060,0.0002275410752989993,
BPQ020,0.00020209058093120246,
WHQ030,0.000194912906527002,
bp_med_diur_loop,0.00017986951056476794,
MCQ080,0.00017289902897635442,
SMQ020,0.00017037708940936968,
WHD130,0.00015445233175467133,
DS1DS,0.00014830556862801235,
demo_age_cat,0.00014202694702892952,
LBXPLTSI,0.0001352783770824201,
LBXMC,0.0001283625786281943,
BPXML1,0.00011808941051552458,
demo_age_years,0.00010541622981885116,
demo_gender,0.00010527056784413184,
MCQ092,0.00010454130228514459,
MCQ053,9.836962907623877e-05,
LBXRBCSI,8.261046807161814e-05,
DPQ040,7.905236809176333e-05,
DR1EXMER,7.155805181408808e-05,
BPXPULS,6.272241895191068e-05,
PUQ110,5.8101037238645556e-05,
cc_cvd_any,5.365678437928735e-05,
svy_psu,4.745111684447054e-05,
BPXDI1,4.7433949171708446e-05,
LBXMPSI,3.586181171357558e-05,
DPQ050,3.3879327924434106e-05,
bp_med_vasod,3.366451442718375e-05,
htn_resistant_jnc7,3.288239802253102e-05,
LBXRDW,2.7961806520775623e-05,
CDQ010,2.5471747606295027e-05,
BMXWT,1.929883914016647e-05,
MCQ160F,1.8241558858097678e-05,
URXUMA,1.7757778045312124e-05,
WHD020,1.5662057304540335e-05,
LBXHCT,1.4562400503960964e-05,
LBDHDD,1.2076696321671073e-05,
BPXDI3,1.190341184715113e-05,
BMXARMC,1.0154233182211985e-05,
svy_year,1.003311310785485e-05,
WHD120,9.75327220350478e-06,
