Feature,Importance,f1-score
demo_age_years,0.12069215557302872,
LBXLYPCT,0.07233452450074912,
bp_med_pills_gteq_2,0.07073639623163644,
cc_cvd_any,0.06809844473936762,
bp_med_angioten,0.05905592528366492,
svy_year,0.05779956764276594,
bp_med_n_pills,0.057704534418170035,
LBXHCT,0.05008698365989134,
cc_cvd_ascvd,0.04836277593970528,
WHQ070,0.04299298732843035,
BPXSY3,0.040116618090049065,
bp_dia_mean,0.03990197509375586,
BPQ040A,0.03147165534753258,
WHD130,0.029041698216738205,
BMXWT,0.02635953516730101,
DS1ANCNT,0.024060183425249182,
BMXWAIST,0.02262460578917549,
cc_cvd_mi,0.02109078803200493,
bp_med_recommended_accaha,0.02033988124049848,
cc_diabetes,0.016189095271423128,
bp_med_recommended_jnc7,0.013971132042661497,
BMXARMC,0.012113614405906872,
BPXDI1,0.005871522598058523,
BPAEN2,0.0054746638112024995,
htn_resistant_accaha_thz,0.004681585173546428,
LBXHA,0.004591538618963525,
DPQ070,0.004575325839200669,
DS1DSCNT,0.004113570903947467,
htn_resistant_jnc7,0.0034166761742499647,
BPXPTY,0.0031632362617792596,
BMXBMI,0.0025211387965264776,
bp_med_diur_thz,0.002312411234013555,
BPQ060,0.0014705278319793646,
BPQ090D,0.0014325413910706193,
BPXDI2,0.0010395123953968795,
LBXRDW,0.001007610044642187,
DS1AN,0.000857706272352065,
BPQ020,0.0006764600814884717,
BPXDI3,0.0006095299122629773,
cc_cvd_hf,0.0005252232036915322,
MCQ160D,0.000469440207193937,
bp_med_combination,0.000424428704388566,
LBXMOPCT,0.00040795488909120135,
HUQ030,0.00039348558096562126,
bp_med_aldo,0.0003853862722098819,
demo_pregnant,0.0003691526593295554,
LBDHDD,0.0003408092374570839,
BPXPULS,0.00032966047018740367,
bp_med_diur_loop,0.00030318330530117594,
IMQ020,0.00025694924670959684,
htn_resistant_accaha,0.00020450904554600356,
SMQ020,0.00018206051486613134,
MCQ160C,0.0001794785801028984,
DR2DRSTZ,0.00016770783679689925,
BPQ080,0.00016042941531900086,
DPQ020,0.00014389433539863688,
MCQ080,0.00011823064374681182,
demo_gender,0.00010967372833833286,
HUQ010,9.835094691327165e-05,
LBXMCHSI,8.474949056753437e-05,
URXUMA,8.054901290870917e-05,
INDFMMPC,7.87891050566693e-05,
PUQ110,7.677907045865768e-05,
SMAQUEX,7.470307212201087e-05,
CDQ010,6.714408268305386e-05,
LBDLYMNO,6.68494646744451e-05,
BPQ030,6.662112693994983e-05,
PFQ059,6.63568125965286e-05,
DPQ030,6.355214910497171e-05,
bp_med_renin_inhibitors,6.301011179233458e-05,
cc_bmi,6.18186520377172e-05,
DBQ330,5.758323470203828e-05,
bp_med_ccb_dh,4.989379088661497e-05,
MCQ092,4.633453810708567e-05,
MCQ160E,4.201827021541847e-05,
bp_med_ccb_ndh,4.166987452229796e-05,
bp_med_ccb,4.145990146731712e-05,
URXUCR,3.2740312675738716e-05,
LBXBAPCT,3.2155477452968024e-05,
