Feature,Importance,f1-score
bp_cat_meds_excluded,0.14970289567457562,
BPXDI3,0.09904066576918348,
bp_sys_mean,0.08412489078552227,
demo_age_cat,0.08049460641562961,
BPQ060,0.07428367319558608,
bp_med_n_pills,0.062318111025832366,
bp_med_recommended_jnc7,0.061406746553608345,
WHQ030,0.0578691703907285,
SMAQUEX,0.04974184607035468,
BMXARML,0.048050061836827335,
DS1AN,0.03291526774599758,
BMXARMC,0.02927843096443222,
htn_aware,0.028059400171637147,
BMXWT,0.02733301605054457,
BPQ020,0.026502197190909092,
BPQ040A,0.01973005490382454,
bp_med_diur_thz,0.012737963708839655,
DR1DAY,0.010607553973630123,
BPXML1,0.006725703426842721,
BMXWAIST,0.006209108077810949,
BPXSY2,0.0059963955242825885,
BPAEN1,0.003956613695308171,
demo_age_years,0.0030224539035437364,
MCQ092,0.002842297944640579,
WHD130,0.0025868453003409764,
DPQ080,0.0017190212359261658,
LBXHA,0.0016966531166278229,
htn_resistant_jnc7_thz,0.001542464329826434,
cc_cvd_ascvd,0.0014434007240029258,
bp_med_combination,0.0011594721884907763,
MCQ080,0.0008351646492706684,
LBXEOPCT,0.0006933677336776698,
BPAEN3,0.000592201769632851,
LBDEONO,0.0005219003104120624,
BMXHT,0.00047301900414786736,
bp_med_diur_Ksparing,0.0004332023899254133,
PUQ100,0.00036170744875754616,
LBDHDD,0.00034756713946810993,
HIQ210,0.0003405715556577791,
MCQ220,0.00017360051144755446,
LBXRDW,0.00014919497079739365,
HUQ010,0.00014748044992540953,
bp_med_vasod,0.0001429250637023376,
htn_resistant_accaha,0.00014240546390171998,
DS1DSCNT,0.0001308035267704716,
cc_cvd_mi,0.00012785724991840923,
DSDANCNT,0.00010738618366175844,
bp_med_angioten,0.00010705930923359395,
SLQ050,9.727585878292156e-05,
DIQ010,9.35309550813132e-05,
PFQ090,9.215830458035835e-05,
LBDBANO,8.607497325311593e-05,
WHD010,6.900102061252311e-05,
MCQ053,4.566367586318825e-05,
htn_resistant_accaha_thz,4.531134815999062e-05,
bp_cat_meds_included,4.412950077950156e-05,
HOD050,4.192227548121198e-05,
MCQ160B,4.109638616219153e-05,
DBQ330,3.180030092806748e-05,
LBXHCT,3.1442178862866956e-05,
BPQ090D,2.864238167434125e-05,
BMXBMI,2.585925010317986e-05,
