Feature,Importance,f1-score
BPQ020,0.1359218176551463,
cc_cvd_any,0.10700495767705924,
BPXSY3,0.09850282515393934,
bp_cat_meds_included,0.081697510372965,
bp_med_ccb_dh,0.07400853752914259,
cc_ckd,0.060922829537934965,
BPXSY1,0.04964018008675478,
PFQ090,0.04358862099374727,
bp_cat_meds_excluded,0.036867412708865524,
bp_sys_mean,0.034741204770209255,
bp_med_recommended_accaha,0.024385380098795262,
bp_med_pills_gteq_2,0.022630968539880007,
DS1AN,0.021871634843447747,
bp_med_combination,0.019873957566196226,
cc_bmi,0.019713518742763614,
htn_aware,0.015839940824911917,
BPQ090D,0.01551831934392101,
BPXML1,0.01549614994210516,
cc_diabetes,0.014552373864089974,
MCQ220,0.013421943728586455,
DR1DRSTZ,0.009920659365924305,
DPQ070,0.009620058305896932,
BPAEN1,0.008971355866750656,
demo_race_black,0.005203781914988277,
MCQ010,0.005002081846060432,
URXUMA,0.004834251719673472,
svy_strata,0.00469863198211941,
INDFMMPC,0.0032320549606079637,
WHD130,0.0031016670784620552,
bp_med_n_class,0.0027286057135963177,
MCQ160C,0.002426980606250284,
bp_med_renin_inhibitors,0.0020989565670514877,
bp_med_diur_loop,0.002093928718097135,
MCQ160F,0.0020616681963337674,
BPAEN2,0.001943160182742591,
LBXGH,0.0018567535065505997,
BPXDI2,0.0018344881152530404,
DPQ010,0.001771825322627698,
HUQ030,0.0016465501281633,
htn_resistant_jnc7_thz,0.0015891522596184874,
HIQ210,0.0013763368833763973,
cc_cvd_hf,0.0012411244563983947,
MCQ160E,0.0011993425708036495,
BMXARMC,0.0009057444390105756,
IMQ020,0.0008192149788047914,
bp_med_angioten,0.0008101471783745545,
WHD020,0.0007923741764448185,
SMQ020,0.0007643701869965032,
demo_age_years,0.0007102094581724516,
LBXNEPCT,0.0007015864606688515,
cc_cvd_ascvd,0.0005851471956606298,
bp_med_use,0.0005590928674285356,
bp_med_ccb,0.0005367551356662383,
bp_med_vasod,0.00048458310908679983,
LBXHA,0.0004831079464239743,
WHQ070,0.00046660558855140307,
OSQ010A,0.00039833777914867116,
BPQ030,0.00035815841088127407,
LBXLYPCT,0.00032606911566468916,
DS1DS,0.0003056403794295517,
BPQ080,0.0002301237811236944,
DS1ANCNT,0.00022688419012197812,
SMAQUEX,0.00021771442085721888,
demo_race,0.00020581014492803887,
DPQ040,0.00020465374760810748,
DPQ030,0.0002012149056849917,
BPXPLS,0.00017850397840435636,
BPQ040A,0.00017691947189906685,
cc_cvd_mi,0.00015433974361478,
HUQ090,0.00014157570025345978,
DR2DRSTZ,0.00011015738849077356,
BMXLEG,9.892716122794638e-05,
LBXEOPCT,9.886914663946818e-05,
MCQ160B,9.380014108169211e-05,
URXUCR,7.536424401807463e-05,
WHD050,7.48076700921772e-05,
LBXBAPCT,7.42823177426681e-05,
LBDLYMNO,6.449290937853957e-05,
svy_year,5.9815985305519116e-05,
cc_smoke,5.7584445851419684e-05,
WHD010,5.6522661845258224e-05,
LBDNENO,5.482771372606161e-05,
LBXHGB,4.574353421144226e-05,
bp_med_beta,4.2886057252593246e-05,
LBXRBCSI,3.564330137170456e-05,
PUQ100,3.49509745182209e-05,
bp_med_aldo,3.187645789871104e-05,
BPXDI3,2.6640059854224894e-05,
