Feature,Importance,f1-score
htn_resistant_accaha,0.1713286382860543,
bp_dia_mean,0.14653475899527785,
BPXDI2,0.07991840398213883,
htn_aware,0.07453926451293144,
BPQ040A,0.056325274831621426,
bp_med_n_pills,0.0546150900446694,
BPXDI3,0.05335507823879441,
bp_med_use,0.04936987042657394,
cc_cvd_chd,0.04450799891586831,
MCQ160C,0.032232842178631475,
BPQ020,0.028149264895852906,
svy_strata,0.027221884776365408,
HUQ010,0.025726759611820794,
htn_resistant_jnc7_thz,0.01993772573864056,
bp_med_recommended_accaha,0.01732186661769923,
bp_med_angioten,0.015349090273978122,
MCQ160E,0.013875611003835503,
BPXSY1,0.012399930708469554,
bp_med_diur_loop,0.012282872531193591,
bp_med_diur_Ksparing,0.007842179330515054,
bp_cat_meds_excluded,0.007376610535701304,
DIQ010,0.006773702000700012,
WHD110,0.005407509149360954,
DBQ330,0.004704548293744927,
LBXRDW,0.0039015954741661997,
htn_resistant_jnc7,0.0031970861844531485,
HIQ210,0.003025197909387911,
LBXHCT,0.003003940389426142,
BPXDI1,0.0027449457678512344,
bp_med_pills_gteq_2,0.002589669033370503,
LBXMCHSI,0.002130997101070619,
OSQ060,0.001786327287017915,
INDFMMPC,0.0015317645788221269,
svy_psu,0.0014448566725887672,
bp_med_alpha,0.0011500461405366538,
htn_resistant_accaha_thz,0.00067281017865529,
cc_cvd_ascvd,0.0005470964427867729,
LBXRBCSI,0.0004818209228422957,
HOD050,0.0004622719639233308,
LBDHDD,0.00041218763418151644,
bp_med_n_class,0.0003587423396311078,
LBXNEPCT,0.0003476574045051729,
DPQ020,0.00029740180484559553,
cc_cvd_mi,0.00025210122861532536,
BPAARM,0.00025150359276628824,
BMXLEG,0.00019476860067044302,
DS1DSCNT,0.00019002917655200452,
demo_race,0.00015540108303538792,
BPQ060,0.0001546053738571517,
BMXHT,0.00015413173510071013,
WHD130,0.000149742063255487,
BMXBMI,0.0001342943974531472,
OSQ010C,0.00011720204223419298,
PFQ090,0.00011094390142078785,
SEQN,8.53116558246077e-05,
MCQ160L,6.628458021250068e-05,
DR1DAY,5.8848711694087726e-05,
DPQ030,5.657847534562665e-05,
URXUCR,5.35437788853512e-05,
OSQ010B,4.880119752560955e-05,
bp_med_ccb,4.741895666912205e-05,
