Feature,Importance,f1-score
BPXSY2,0.1493420713821318,
bp_med_use,0.13674583789678252,
bp_med_recommended_accaha,0.11989591422135921,
bp_med_recommended_jnc7,0.07699957676530335,
cc_cvd_any,0.07252956879700917,
MCQ160A,0.06442950835549469,
bp_cat_meds_excluded,0.0578735404159691,
BPXML1,0.054012972258497535,
BPQ020,0.04632652261751434,
LBXHA,0.030846562882322952,
MCQ160C,0.027782510226894788,
demo_age_cat,0.01867906673307325,
SMAQUEX,0.01761915774283718,
cc_cvd_mi,0.014371139827139553,
htn_resistant_accaha,0.013747706569136407,
cc_cvd_ascvd,0.012990676611402808,
cc_cvd_chd,0.011897465445454752,
BMXARMC,0.009398442901257372,
BPAEN1,0.00860063363210893,
htn_aware,0.007880577655701024,
demo_age_years,0.006487696080466642,
bp_med_ccb_dh,0.00559143303740005,
BMXWT,0.005017210346216845,
DIQ010,0.004602848975592803,
HUQ090,0.004335769161723471,
DPQ070,0.0035938936333998095,
bp_med_n_pills,0.003216110585605202,
LBDMONO,0.0028518836301306173,
PFQ059,0.0022218521268478806,
DR1DRSTZ,0.0019508023918639599,
bp_med_ccb_ndh,0.0011484336605315528,
LBXMOPCT,0.0008412187906366907,
LBDNENO,0.0006713213754525687,
htn_resistant_accaha_thz,0.0006589934552407193,
DIQ050,0.0006535229727315171,
LBDEONO,0.0006362386398547727,
MCQ160B,0.0005613096199228965,
bp_med_renin_inhibitors,0.00044139051225074215,
DSDCOUNT.x,0.00038419123869675397,
BPXDI3,0.0002862949761366655,
BMXWAIST,0.00020137110563097163,
ALQ130,0.0001984902131558516,
cc_cvd_hf,0.00018063625954425279,
OSQ010C,0.0001672428264419667,
BPXSY1,0.00013206063144122833,
svy_year,0.00011030637288402048,
bp_sys_mean,8.389081267967818e-05,
BMXARML,8.23707769527221e-05,
demo_race,7.969867117527739e-05,
bp_med_diur_loop,5.579322520850128e-05,
DPQ080,5.055818458574777e-05,
LBXGH,4.986143068476903e-05,
LBDTCSI,3.788550659794724e-05,
BMXHT,3.5497404353012955e-05,
MCQ160E,3.4425974014626485e-05,
SMQ020,3.246540508058456e-05,
LBXBAPCT,3.213638792215036e-05,
HUQ010,2.995497321589233e-05,
bp_med_ace,2.6472425253625855e-05,
bp_cat_meds_included,2.5511292242277436e-05,
cc_diabetes,2.4055055706340893e-05,
LBXMPSI,2.3287948448249872e-05,
DSD010AN,2.142560746199902e-05,
cc_bmi,2.0690328510098115e-05,
BPXDI1,1.8007151923839566e-05,
bp_med_diur_thz,1.6835789360238185e-05,
LBXRDW,1.2471525041378536e-05,
MCQ220,1.0072740815960921e-05,
HOD050,9.932955167238964e-06,
DPQ030,8.684924191527085e-06,
LBDLYMNO,7.1477736686247285e-06,
URXUCR,6.149779840573344e-06,
DR1LANG,5.940891221995732e-06,
bp_med_vasod,5.660898549305795e-06,
MCQ010,5.530937604429769e-06,
LBXNEPCT,5.490058394914277e-06,
SLQ050,5.113993618794052e-06,
DS1AN,4.857664978120379e-06,
DR1EXMER,4.777976428476386e-06,
DSDANCNT,3.836646361815321e-06,
bp_med_combination,3.4070550402807113e-06,
BPAEN3,2.2481683571541556e-06,
MCQ092,2.0177963492148793e-06,
LBXMCHSI,1.451025955747599e-06,
HIQ210,6.786203160407777e-07,
HOQ065,6.747360450244511e-07,
htn_resistant_jnc7,4.769204158244619e-07,
WHD010,3.11364327623212e-07,
DPQ010,2.338244620515889e-07,
LBDHDD,3.181427923663113e-08,
bp_med_angioten,0.0,
bp_med_central,0.0,
bp_med_diur_Ksparing,0.0,
DS1DS,0.0,
svy_psu,0.0,
svy_strata,0.0,
bp_med_beta,0.0,
DR1DAY,0.0,
demo_race_black,0.0,
bp_med_pills_gteq_2,0.0,
bp_med_ccb,0.0,
bp_med_alpha,0.0,
htn_resistant_jnc7_thz,0.0,
demo_pregnant,0.0,
demo_gender,0.0,
bp_dia_mean,0.0,
cc_smoke,0.0,
cc_ckd,0.0,
bp_med_aldo,0.0,
bp_med_n_class,0.0,
DS1DSCNT,0.0,
INDFMMPC,0.0,
DS1ANCNT,0.0,
WHQ030,0.0,
HUQ030,0.0,
IMQ020,0.0,
MCQ053,0.0,
MCQ080,0.0,
MCQ160D,0.0,
MCQ160F,0.0,
MCQ160L,0.0,
OSQ010A,0.0,
OSQ010B,0.0,
OSQ060,0.0,
PFQ090,0.0,
WHD020,0.0,
WHD050,0.0,
CDQ010,0.0,
WHQ070,0.0,
WHD110,0.0,
WHD120,0.0,
WHD130,0.0,
WHD140,0.0,
DPQ020,0.0,
DPQ040,0.0,
DPQ050,0.0,
DPQ060,0.0,
DPQ090,0.0,
PUQ100,0.0,
PUQ110,0.0,
HSQ590,0.0,
BPQ090D,0.0,
DR2DRSTZ,0.0,
LBXEOPCT,0.0,
BMXBMI,0.0,
BMXLEG,0.0,
BPAARM,0.0,
BPACSZ,0.0,
BPXPLS,0.0,
BPXPULS,0.0,
BPXPTY,0.0,
BPXDI2,0.0,
BPAEN2,0.0,
BPXSY3,0.0,
LBXWBCSI,0.0,
LBXLYPCT,0.0,
LBDBANO,0.0,
BPQ080,0.0,
LBXRBCSI,0.0,
LBXHGB,0.0,
LBXHCT,0.0,
LBXMCVSI,0.0,
LBXMC,0.0,
LBXPLTSI,0.0,
URXUMA,0.0,
DBQ330,0.0,
BPQ030,0.0,
BPQ040A,0.0,
BPQ060,0.0,
BPQ070,0.0,
SEQN,0.0,
,,0.9887815708246341
