"","Year","Feature","No_mean","No_sd","Yes_mean","Yes_sd","MeanDecreaseAccuracy_mean","MeanDecreaseAccuracy_sd","MeanDecreaseGini_mean","MeanDecreaseGini_sd","Count"
"1","overall","bp_sys_mean",22.4241298556154,0.908378856595028,21.9598827384553,0.729023264891573,24.9322410521845,0.989885540158528,1301.58521249174,72.4445514803379,3
"2","pre2013","bp_sys_mean",21.152611630069,1.02556734968671,20.4543633574154,0.722938199135129,23.2169437134424,0.994555762328009,674.486660642205,22.0000057951879,3
"3","post2013","bp_sys_mean",20.0336031106036,0.549707373640871,20.4063828793966,0.792880689377047,22.8849343280203,0.835239140135052,397.024136024691,30.9964377296745,3
"4","overall","BPXSY2",19.7571161046131,0.862800652760506,19.5470823738415,0.651349880580337,21.9975679165618,0.529751174794331,968.14580684566,63.6375273223718,3
"5","overall","BPXSY3",19.022494968102,0.836769113087989,19.2949230209298,0.459396452512895,21.6856004924955,0.568596987421122,897.080664663241,75.9680582877792,3
"6","overall","BPXSY1",19.2505841566978,0.496341171900835,19.358074756853,0.579147652880422,21.6555848205635,0.67436036291539,960.621647625409,55.3418739906988,3
"7","overall","bp_dia_mean",17.3310426208686,1.08971378696854,20.1070170536433,0.858855801705511,21.6057352184032,0.809903299710937,268.205922458744,13.1032736784263,3
"8","pre2013","BPXSY2",18.6930025823993,0.564531363143175,19.3815647396251,0.755717473030418,21.4410399801959,0.65748037647172,534.551085501283,29.2161385086951,3
"9","pre2013","BPXSY3",18.4350226433643,0.654213386439861,19.1597969993383,0.503235081283542,21.3330959835658,0.668868885410611,475.899192131269,32.1658926101853,3
"10","pre2013","BPXSY1",18.0911371495304,0.611693640266929,18.9542699205991,0.486278096908454,20.9282582278802,0.533857147266416,485.771328504619,39.3095429745293,3
"11","post2013","BPXSY1",17.887864265244,0.708391047137718,18.7068701656125,0.414572215510825,20.678288493679,0.602665442859921,284.942837339978,21.2859044556999,3
"12","post2013","BPXSY2",17.7647759075995,0.89584294399677,18.5467553846308,0.55013782344399,20.4190311774681,0.618467725996344,309.734811546737,25.4952060158091,3
"13","post2013","BPXSY3",16.7955254478998,1.03719977898244,18.2101944534384,0.68592132848099,19.982955735947,1.0073391513866,269.756099887356,17.248230790483,3
