Feature,Mean,Std
SEQN,0.0,0.0
svy_psu,0.006950782554295796,0.009829890957391419
svy_strata,2.7760107436749246e-06,3.9258720429985e-06
svy_year,0.0,0.0
demo_age_years,0.0027283410561206303,0.0038526765011625977
bp_sys_mean,0.10080037639120579,0.14255325938475596
bp_dia_mean,0.0,0.0
DSDCOUNT_x,6.886491517219351e-06,9.738969700818878e-06
DSDANCNT,0.007329991538881821,0.010365493950347648
DR1EXMER,0.0010499209253512908,0.0014832951042655438
DR1DAY,1.2719668409256647e-05,1.798832757325936e-05
DS1DSCNT,0.00017297586871972914,0.000244624819506709
DS1ANCNT,0.0,0.0
BMXWT,0.0,0.0
BMXHT,0.0004440916332586914,0.00062804041069086
BMXBMI,0.0,0.0
BMXLEG,0.0,0.0
BMXARML,0.0,0.0
BMXARMC,4.160629930912519e-06,5.580638946102849e-06
BMXWAIST,1.5041464697074716e-06,2.1271843372559183e-06
BPXPLS,1.587081149659383e-05,2.244471686434983e-05
BPXML1,0.0,0.0
BPXSY1,5.186887481461254e-06,7.335366622785732e-06
BPXDI1,0.0,0.0
BPXSY2,0.004308720913957485,0.006093451552999273
BPXDI2,1.571827902238298e-05,3.82130902608586e-06
BPXSY3,0.0,0.0
BPXDI3,4.503739329526277e-06,6.3692492412091716e-06
LBXWBCSI,0.0,0.0
LBXLYPCT,6.796223588001142e-05,9.611311571071153e-05
LBXMOPCT,1.501765772401873e-06,2.1238175228384353e-06
LBXNEPCT,1.2359728099970842e-06,1.747929510622261e-06
LBXEOPCT,0.000263514907482062,0.0003364864605942234
LBXBAPCT,0.0005590362691407217,0.0007905966736772644
LBDLYMNO,1.148283385027229e-06,1.623917936553194e-06
LBDMONO,0.0013864133418370868,5.2876523606890966e-05
LBDNENO,4.962587187590385e-06,7.018158105149278e-06
LBDEONO,0.0002990916290993278,0.0004229794382645328
LBDBANO,0.000541334116404986,0.000765562049195187
LBXRBCSI,0.0,0.0
LBXHGB,3.6757873369412787e-06,5.103893800422007e-06
LBXHCT,5.100772292437761e-06,7.2135813545423855e-06
LBXMCVSI,8.331751358415696e-05,0.00011782875769391935
LBXMCHSI,9.226957839368975e-06,9.74348736998929e-06
LBXMC,0.0,0.0
