Feature,Mean,Std
SEQN,1.0094733347026539e-07,1.4276108807904879e-07
svy_psu,0.01499312810772008,0.021203485112334997
svy_strata,6.182570704920315e-05,8.743475341228897e-05
svy_year,0.0,0.0
demo_age_years,3.127631136271821e-05,4.4231383710159834e-05
bp_sys_mean,0.0,0.0
bp_dia_mean,0.0,0.0
DSDCOUNT_x,0.0,0.0
DSDANCNT,4.822584887245169e-06,6.820164953237641e-06
DR1EXMER,0.00033082866400126545,0.0004678623834523613
DR1DAY,0.0003165058022881067,0.0004476067981656179
DS1DSCNT,0.0,0.0
DS1ANCNT,0.0,0.0
BMXWT,6.6445124625035985e-06,9.396759639829641e-06
BMXHT,0.0,0.0
BMXBMI,0.0,0.0
BMXLEG,0.0,0.0
BMXARML,1.302582916251225e-06,1.8421304262779799e-06
BMXARMC,0.0,0.0
BMXWAIST,1.9301079405311345e-06,2.7295848263431334e-06
BPXPLS,4.184706281017115e-05,5.2172836884523406e-05
BPXML1,0.0,0.0
BPXSY1,0.0008046560455415263,0.0011379554926503293
BPXDI1,0.003607211614281454,0.004221950829126892
BPXSY2,0.0,0.0
BPXDI2,8.697691670718242e-06,1.2300393522069242e-05
BPXSY3,0.0002001229812899168,0.0002830166342827375
BPXDI3,0.0,0.0
LBXWBCSI,1.994094127075368e-05,2.820074959158524e-05
LBXLYPCT,0.0,0.0
LBXMOPCT,0.0,0.0
LBXNEPCT,0.0001666996794437009,0.00023574894751252925
LBXEOPCT,4.354106043228911e-05,6.15763581834498e-05
LBXBAPCT,0.0,0.0
LBDLYMNO,0.0,0.0
LBDMONO,2.6328544430910588e-05,3.7234184611736376e-05
LBDNENO,6.47877497379419e-06,9.162371435503138e-06
LBDEONO,0.0007547837236926122,0.001067425378704559
LBDBANO,1.5066128619022631e-05,2.1306723425479235e-05
LBXRBCSI,0.0,0.0
LBXHGB,0.0,0.0
LBXHCT,0.0005330747547186927,0.0007493674047170081
LBXMCVSI,1.3008935794283204e-05,1.839741343231612e-05
LBXMCHSI,0.0009599044532883446,0.001357509896422708
LBXMC,0.0,0.0
LBXRDW,0.0,0.0
LBXPLTSI,4.0576247741188643e-07,5.738347986579964e-07
LBXMPSI,7.377530921423423e-06,2.0707028604199807e-06
LBDTCSI,0.0,0.0
LBDHDD,0.0,0.0
LBXGH,1.2427208406542483e-05,1.7574726670969317e-05
URXUMA,1.6995574963259446e-06,2.4035372613370123e-06
URXUCR,0.0,0.0
ALQ130,0.0,0.0
HOD050,0.0,0.0
WHD010,0.0,0.0
WHD020,1.4653244507098523e-05,2.072281711470779e-05
WHD050,0.0,0.0
WHD110,0.0,0.0
WHD120,9.045526774981834e-05,0.00012792306643988273
WHD130,1.3757540195355064e-08,1.945609992916413e-08
WHD140,0.0,0.0
demo_age_cat_18to44,4.603471056014902e-06,6.510291201408268e-06
demo_age_cat_45to64,0.0,0.0
demo_age_cat_65to74,0.0,0.0
demo_age_cat_75plus,1.0294157130844206e-06,1.4558136627639584e-06
demo_race_NonplusHispanicWhite,0.0,0.0
demo_race_NonplusHispanicBlack,0.0,0.0
demo_race_NonplusHispanicAsian,1.0174490301565205e-07,1.4388902174707035e-07
