Feature,Mean,Std
SEQN,1.9793764646405973e-06,2.7992610413368418e-06
svy_psu,7.953015575014398e-07,7.68725685549564e-07
svy_strata,0.0,0.0
svy_year,0.0002706331716253141,0.0003827331017405647
demo_age_years,0.025329851141625104,0.03582181901737785
bp_sys_mean,0.010010473026037381,0.01345538714332335
bp_dia_mean,0.00010490771721894982,0.0001483619164886403
DSDCOUNT_x,0.00012492948609306388,0.00015555624771894984
DSDANCNT,0.005133486507388515,0.00725984624100813
DR1EXMER,4.905138563654402e-07,6.936913482039339e-07
DR1DAY,0.0,0.0
DS1DSCNT,1.772196147382754e-05,2.0833229970514317e-05
DS1ANCNT,6.686889211448205e-08,9.456689412916383e-08
BMXWT,7.474351947167717e-06,1.0570329893634337e-05
BMXHT,0.0,0.0
BMXBMI,1.623010562190299e-05,2.2952835489243026e-05
BMXLEG,0.0,0.0
BMXARML,0.0,0.0
BMXARMC,0.0,0.0
BMXWAIST,0.0,0.0
BPXPLS,0.00090958218482534,0.0012752927578452914
BPXML1,0.0,0.0
BPXSY1,0.0,0.0
BPXDI1,0.0,0.0
BPXSY2,0.027335888430300423,0.03865878415764863
BPXDI2,0.000483121194567565,0.0006832365456273413
BPXSY3,0.0070837229134712645,0.010017897016324117
BPXDI3,0.0,0.0
LBXWBCSI,0.0,0.0
LBXLYPCT,2.761363962845643e-05,3.905158366904624e-05
LBXMOPCT,3.357127653758711e-05,1.5208233363087168e-05
LBXNEPCT,0.0,0.0
LBXEOPCT,0.0,0.0
LBXBAPCT,1.9370397599974265e-05,2.7393878994442855e-05
LBDLYMNO,5.894753321113984e-05,8.336440093563241e-05
LBDMONO,8.975235861193101e-05,0.0001269290028039665
LBDNENO,3.3825345293392744e-05,4.783626206586896e-05
LBDEONO,0.0,0.0
LBDBANO,7.0301064093550784e-06,9.942071829035974e-06
LBXRBCSI,0.0,0.0
LBXHGB,0.0,0.0
LBXHCT,0.0,0.0
LBXMCVSI,0.0,0.0
LBXMCHSI,8.327938144035648e-06,1.1777483069899434e-05
LBXMC,1.0788715097420527e-05,1.5257547211351476e-05
LBXRDW,5.132647719578876e-05,7.258660015911785e-05
LBXPLTSI,0.0,0.0
LBXMPSI,8.781745448976708e-07,1.2419263515251065e-06
LBDTCSI,0.0002875405837856189,0.0004066437933222995
LBDHDD,0.0008638824975518379,0.0012217143443345512
LBXGH,0.0,0.0
URXUMA,0.0009625569469293702,0.0013427231981590418
URXUCR,0.0,0.0
ALQ130,0.0,0.0
HOD050,2.1271527907286502e-05,3.008248325888235e-05
WHD010,4.497013399509183e-07,6.359737339759424e-07
WHD020,0.0,0.0
WHD050,0.0,0.0
WHD110,5.337520249373819e-05,6.860567321408388e-05
WHD120,6.306531490172273e-06,7.981548417828701e-06
WHD130,2.0846828353552365e-06,2.9481867390057732e-06
WHD140,0.0020393290701909888,0.00288404682920581
demo_age_cat_18to44,2.4178697457948185e-06,3.41938418655462e-06
demo_age_cat_45to64,2.149480201395227e-06,3.0398240528655814e-06
demo_age_cat_65to74,1.862948831498737e-05,2.6346075035126236e-05
demo_age_cat_75plus,0.0,0.0
demo_race_NonplusHispanicWhite,0.00027082027167347946,8.817735929114831e-05
demo_race_NonplusHispanicBlack,0.0,0.0
demo_race_NonplusHispanicAsian,2.798362163737784e-05,3.957481724389694e-05
demo_race_Hispanic,0.0,0.0
demo_race_Other,0.0003047552296160401,0.0004309889789271306
demo_race_black_No,0.0,0.0
demo_race_black_Yes,0.020853624716552895,0.02668375788091995
demo_pregnant_No,0.0,0.0
demo_pregnant_Yes,5.282812151188946e-05,7.471024591680793e-05
demo_gender_Men,0.0,0.0
demo_gender_Women,0.0007745504309298753,0.0010952730860091537
bp_cat_meds_excluded_SBP120andDBP80mmHg,0.01844077463626838,0.02607919359127652
bp_cat_meds_excluded_SBPof120to130andDBP80mmHg,0.00022293691522556612,0.00031528040906561653
bp_cat_meds_excluded_SBPof130to140orDBP80to90mmHg,6.430293473173075e-06,9.093808239800556e-06
bp_cat_meds_excluded_SBPof140to160orDBP90to100mmHg,0.0,0.0
bp_cat_meds_excluded_SBP160plusorDBP100plusmmHg,2.312057023174653e-07,3.2697423991535594e-07
bp_cat_meds_included_SBP120andDBP80mmHg,0.0,0.0
