,Feature,Mean,Std
88,bp_med_use_No,0.174804089510771,0.1204282261806899
99,bp_med_n_pills_None,0.0677593966810079,0.0498390401314374
206,LBXHA_2,0.0572669736753408,0.0809877308477301
149,cc_bmi_25,0.0441569605286166,0.0624470438188594
168,DSD010AN_2,0.0326971919368738,0.0452721024431292
5,bp_sys_mean,0.0315393131353421,0.0446033243839327
22,BPXSY1,0.0293512272451841,0.0414072978937021
87,bp_cat_meds_included_takingantihypertensivemedications,0.0189210717818757,0.0267584363285636
363,DPQ020_0,0.0135813626178383,0.0192069472096539
338,PFQ059_2,0.0135192290791267,0.0190985791006817
92,bp_med_recommended_accaha_No,0.0094172898103472,0.0133180589705909
24,BPXSY2,0.006252552597113,0.0088424446822884
100,bp_med_n_pills_One,0.0052967935367792,0.0074350374850024
323,OSQ010A_2,0.0046894071451001,0.0066318231840898
76,demo_gender_Women,0.0046441769247012,0.0063106531435418
222,BPQ060_7,0.0034178145639937,0.0048335197100761
138,htn_resistant_jnc7_No,0.0024312353814836,0.0034208595479721
314,MCQ160F_2,0.0020723592877775,0.0029293617948404
120,bp_med_ccb_No,0.0017702250980754,0.0025034763421514
142,htn_resistant_jnc7_thz_No,0.0016868437801027,0.0023855573514259
