,Feature,Mean,Std
138,htn_resistant_jnc7_No,0.1571553637567792,0.0127483478012023
88,bp_med_use_No,0.1087832439643113,0.0671895589175937
99,bp_med_n_pills_None,0.0523335857300887,0.0712113917668591
157,cc_cvd_mi_No,0.0424769534761642,0.0599969177963383
87,bp_cat_meds_included_takingantihypertensivemedications,0.0324651908694896,0.0266292520465553
92,bp_med_recommended_accaha_No,0.0297444684183139,0.0420650306427577
302,MCQ160C_2,0.0270134629416283,0.0382028056587138
107,bp_med_pills_gteq_2_Yes,0.0211738988491172,0.0299424673707099
72,demo_race_black_Yes,0.0208536247165528,0.0266837578809199
120,bp_med_ccb_No,0.0190254839697875,0.0269060974607854
77,bp_cat_meds_excluded_SBP120andDBP80mmHg,0.0184407746362683,0.0260791935912765
89,bp_med_use_Yes,0.0166400093707926,0.0235233523771124
84,bp_cat_meds_included_SBPof130to140orDBP80to90mmHg,0.0146453235003884,0.0207116151195907
106,bp_med_pills_gteq_2_No,0.0135891040304546,0.0084718194872618
295,MCQ160A_2,0.0114402805276494,0.0161789998795546
353,WHQ070_1,0.0113981129115222,0.0161193658649346
5,bp_sys_mean,0.0100104730260373,0.0134553871433233
156,cc_ckd_Yes,0.00795694385591,0.0112528179160692
26,BPXSY3,0.0070837229134712,0.0100178970163241
155,cc_ckd_No,0.0049546112324379,0.0070068784011998
314,MCQ160F_2,0.0043616357869737,0.0006604768186164
311,MCQ160E_7,0.0030172526503353,0.0042670396192104
93,bp_med_recommended_accaha_Yes,0.0022498156540196,0.0031817198107538
271,HOQ065_1,0.001484493017161,0.0020993901581173
252,HIQ210_2,0.0012188669426941,0.0016088593751706
