Feature,Mean,Std
SEQN,4.178653253342423e-05,8.207602847531967e-05
svy_psu,0.008084466619762897,0.01713269491389502
svy_strata,0.0005616431211061842,0.001186540356196367
svy_year,8.991146348839962e-05,0.00017512013548705963
demo_age_years,0.00044682133142296147,0.0009113945087189304
bp_sys_mean,0.005271294441750839,0.016416772150114407
bp_dia_mean,7.11520674100951e-05,0.00014819035913833949
DSDCOUNT_x,0.00013602700222200556,0.0003696289500570703
DSDANCNT,0.000355089022790159,0.0007632152871547935
DR1EXMER,2.0097736184745097e-05,3.996986543274486e-05
DR1DAY,0.00010270267048429476,0.0001666889745334123
DS1DSCNT,0.00016062211779837007,0.0004299827860365135
DS1ANCNT,7.034262587309414e-06,2.066901549651904e-05
BMXWT,0.0007575064112781053,0.0012651155858450513
BMXHT,0.0005042040956876357,0.0014753340173290798
BMXBMI,0.0029198943765928386,0.009212125452509422
BMXLEG,7.62352134963151e-05,0.00011907986282583284
BMXARML,9.735613044023874e-05,0.00018946169119244915
BMXARMC,0.0002000134125986704,0.0003902502322776813
BMXWAIST,0.0001400289562598563,0.00024959398915272565
BPXPLS,0.0002540110008949081,0.0007029448671516641
BPXML1,1.9637440875443078e-05,3.0251890413203837e-05
BPXSY1,0.019276001941919224,0.05891114987948261
BPXDI1,0.0006605608135722314,0.0011869039022748232
BPXSY2,0.004263375702861752,0.009796462360081045
BPXDI2,1.9695892464195926e-05,5.177635149328455e-05
BPXSY3,6.894750299479954e-06,1.1452237062773772e-05
BPXDI3,3.930126451266831e-06,1.1982166266406528e-05
LBXWBCSI,3.6816722513018225e-06,8.673540448968989e-06
LBXLYPCT,0.0007548837169980779,0.00232019686083989
LBXMOPCT,0.00024858327870631034,0.00035766401356935283
LBXNEPCT,0.00010899262444499346,0.00033555580329609226
LBXEOPCT,0.00026235029935943634,0.0005066461981843581
LBXBAPCT,0.00039590047694740814,0.0006940483722649258
LBDLYMNO,0.0010012158608142265,0.0027166083755206243
LBDMONO,0.0007804401068597663,0.001276183769660744
LBDNENO,0.00011364617426781417,0.0001308170536636829
LBDEONO,9.151335037624857e-05,0.0002832194250153955
LBDBANO,0.0032167222115935,0.007702668187267721
LBXRBCSI,7.919539737484338e-07,2.504378359066247e-06
LBXHGB,0.0036079995058736006,0.008439958066977789
LBXHCT,0.000603552151900764,0.0011418286128383488
LBXMCVSI,7.819605605219135e-05,0.00013550538996823656
LBXMCHSI,0.00047774825030244116,0.0009915348466743186
LBXMC,0.0013446992897192306,0.004237620928582493
LBXRDW,0.0005841388776905089,0.0016450848894437838
LBXPLTSI,0.00021562493929235205,0.0005068852547041624
LBXMPSI,0.00014401799407631825,0.00029517275471951265
LBDTCSI,7.116297846422709e-05,0.0001583352335871924
LBDHDD,0.0020434757630383147,0.005148016729371037
LBXGH,0.00027204167899038697,0.0003210641186588589
URXUMA,1.4549104202047255e-05,3.865000511518931e-05
URXUCR,0.00017763623211461977,0.0004583622674081271
ALQ130,0.0010410091343038168,0.003281270581280787
HOD050,0.0009719579948745639,0.0027117463216973026
WHD010,0.00010624158676375369,0.0002565987211540815
WHD020,7.048059186169101e-06,2.1484372828205062e-05
WHD050,2.2586773043983407e-05,7.142564781228206e-05
WHD110,0.0017973847879672621,0.005486037986842804
WHD120,0.00030124028774084074,0.0005472416643654994
WHD130,5.2910869131119464e-05,0.00012627300565981538
WHD140,7.11943541032885e-05,0.0001464430510235608
demo_age_cat_18to44,0.00010335275586154707,0.00024823694996637514
demo_age_cat_45to64,0.002629697780889425,0.007507454682373619
demo_age_cat_65to74,1.4020030685679334e-05,4.131076232443925e-05
demo_age_cat_75plus,5.928820174065189e-05,0.0001566025729258429
demo_race_NonplusHispanicWhite,0.0047682144943999635,0.014957899740517295
demo_race_NonplusHispanicBlack,0.00026897115596809923,0.000607345661522612
demo_race_NonplusHispanicAsian,8.436176088139373e-05,0.0001731506810919818
demo_race_Hispanic,0.0010914194239675218,0.0016508839347219924
demo_race_Other,0.0006075910319347791,0.0011306589958093244
demo_race_black_No,0.0001801549611506322,0.0005344168949862512
demo_race_black_Yes,5.5892569351054746e-05,9.525005805987258e-05
demo_pregnant_No,0.001346084719059476,0.0034985082160752332
demo_pregnant_Yes,2.6915887434216785e-05,6.313331901083337e-05
demo_gender_Men,0.00033795453789722455,0.0010266055488829218
demo_gender_Women,0.03835724266894054,0.08040506787567518
bp_cat_meds_excluded_SBP120andDBP80mmHg,0.0048836344765185785,0.011403760650739742
bp_cat_meds_excluded_SBPof120to130andDBP80mmHg,0.004138971345969168,0.008580660833189613
bp_cat_meds_excluded_SBPof130to140orDBP80to90mmHg,1.2441601872440025e-05,3.716124904008064e-05
bp_cat_meds_excluded_SBPof140to160orDBP90to100mmHg,0.020843746953412404,0.04745183152360636
bp_cat_meds_excluded_SBP160plusorDBP100plusmmHg,0.00015923750160790214,0.0002950974524464881
bp_cat_meds_included_SBP120andDBP80mmHg,0.0005567792013752542,0.0013865978389303378
bp_cat_meds_included_SBPof120to130andDBP80mmHg,0.0002989355341292016,0.0007118450660470188
bp_cat_meds_included_SBPof130to140orDBP80to90mmHg,0.005726916859015642,0.017482180452316563
bp_cat_meds_included_SBPof140to160orDBP90to100mmHg,0.0009317685941233912,0.0018881875131167602
bp_cat_meds_included_SBP160plusorDBP100plusmmHg,0.003597231352582435,0.008312784469552994
bp_cat_meds_included_takingantihypertensivemedications,0.02545523753315059,0.05435562647507302
bp_med_use_No,0.08440318114962932,0.08426604753999539
bp_med_use_Yes,0.05675119499812555,0.09724527414738014
bp_med_recommended_jnc7_No,0.00035314756026776377,0.00065921367426368
bp_med_recommended_jnc7_Yes,8.648948105337502e-05,0.0002703694771865711
bp_med_recommended_accaha_No,0.019346409306729172,0.04343390269625188
bp_med_recommended_accaha_Yes,0.001084667324740572,0.0023706224719283794
bp_med_n_class_None,0.005076856809489734,0.012963615008421664
bp_med_n_class_One,0.00019705920457776057,0.00043283324418632365
bp_med_n_class_Two,0.0007738269514623023,0.0021071772411461825
bp_med_n_class_Three,3.996354418817162e-05,0.00012637582300740696
bp_med_n_class_Fourormore,0.00027787593269181383,0.0008356990222116513
bp_med_n_pills_None,0.03106801412952735,0.04230775843132271
bp_med_n_pills_One,0.006232962616650075,0.01876982215084248
bp_med_n_pills_Two,4.331318493388943e-05,7.421043241488617e-05
bp_med_n_pills_Three,0.00025320748682713967,0.0005097718125022243
bp_med_n_pills_Fourormore,5.686105979958341e-05,0.0001717119916913952
bp_med_combination_No,0.0001388330895655952,0.00018593643793014526
bp_med_combination_Yes,5.652928216898877e-05,0.0001659110636070031
bp_med_pills_gteq_2_No,0.020699066777780044,0.04533278780730129
bp_med_pills_gteq_2_Yes,0.0007121614967184237,0.0015227586076413618
bp_med_ace_No,0.0004538772032989443,0.0011968402255455972
bp_med_ace_Yes,0.00026939085494751756,0.0006878160956923706
bp_med_aldo_No,0.0011361934471204999,0.002152668898527831
bp_med_aldo_Yes,1.3416997163674444e-05,2.2461347021758572e-05
bp_med_alpha_No,1.936386855729537e-06,6.123392895317204e-06
bp_med_alpha_Yes,0.00012843126621818083,0.0003879322518590961
bp_med_angioten_No,0.0005839121393123685,0.0008688589673956402
bp_med_angioten_Yes,0.0007933883336212102,0.0023715913315413904
bp_med_beta_No,0.0015159828695271481,0.003808038181204702
bp_med_beta_Yes,0.0005514581003118661,0.0012402145607760032
bp_med_central_No,0.00010097877464227423,0.0001857270724065102
bp_med_central_Yes,1.685490961339524e-05,4.027767615499888e-05
bp_med_ccb_No,0.031008839731877885,0.05177897837436715
bp_med_ccb_Yes,2.8640701279246537e-05,5.508574103647724e-05
bp_med_ccb_dh_No,0.004622842734232207,0.013616240556453779
bp_med_ccb_dh_Yes,0.0034169421362404474,0.009668013589317872
bp_med_ccb_ndh_No,0.0005795704619884323,0.0013675676974405561
bp_med_ccb_ndh_Yes,4.052510458501912e-06,9.777942595887582e-06
bp_med_diur_Ksparing_No,0.00013163129227473987,0.00038468682931012195
bp_med_diur_Ksparing_Yes,0.00024581190382860985,0.0007653555047998358
bp_med_diur_loop_No,4.646355402074135e-05,8.446864158705505e-05
bp_med_diur_loop_Yes,0.00022008134307277931,0.0005804942609065118
bp_med_diur_thz_No,0.00031033473376967317,0.0008069296936349062
bp_med_diur_thz_Yes,0.00019766262958853298,0.00025900795912881425
bp_med_renin_inhibitors_No,0.0003686191451610126,0.0005080634241691807
bp_med_renin_inhibitors_Yes,0.0011461833631474484,0.002052695234564882
bp_med_vasod_No,0.013202256213607719,0.03868943358338812
bp_med_vasod_Yes,0.0003876457660844122,0.0008944163201737406
htn_aware_No,0.01358356710408416,0.042888511750277525
htn_aware_Yes,0.0006772563200601337,0.0009653394872038432
htn_resistant_jnc7_No,0.012014051477288266,0.03554569023381196
htn_resistant_jnc7_Yes,0.0005896122160812419,0.0012005430326622883
htn_resistant_accaha_No,0.0004495885050340661,0.0010816882339938628
htn_resistant_accaha_Yes,0.0011030156810116173,0.0020151350142774216
htn_resistant_jnc7_thz_No,0.022584839992508515,0.06843750337643867
htn_resistant_jnc7_thz_Yes,2.6508220781135416e-05,8.274672277157861e-05
htn_resistant_accaha_thz_No,0.0034358442438322755,0.008406641061440116
htn_resistant_accaha_thz_Yes,9.101781694230098e-05,0.00016522674982121343
cc_smoke_Never,0.00016358214083451878,0.0004137777789651959
cc_smoke_Former,2.3161385177876875e-05,5.358466765924122e-05
cc_smoke_Current,7.150646746644651e-05,0.00013867170692741018
cc_bmi_25,0.0025973317855599878,0.008181383633757897
cc_bmi_25to30,0.00018819997725963905,0.0003719565894378493
cc_bmi_30to35,0.00023606974571083249,0.0005564339168249994
cc_bmi_35plus,0.00047774325110427494,0.0009088203828224699
cc_diabetes_No,0.000723181173940771,0.0022531002614173666
cc_diabetes_Yes,0.0002744508499692833,0.0003652309382096029
cc_ckd_No,0.0009966288051046566,0.0024900384396309965
cc_ckd_Yes,0.00033106953442169757,0.0005745973659705674
cc_cvd_mi_No,0.036423854813768204,0.06655758749385478
cc_cvd_mi_Yes,1.922897772914774e-05,5.164664296736047e-05
cc_cvd_chd_No,0.0003749372835195824,0.0009835753251082608
cc_cvd_chd_Yes,4.9323809021988265e-05,8.132531648234399e-05
cc_cvd_ascvd_No,0.00045144701008538327,0.0009779156322058623
cc_cvd_ascvd_Yes,0.0008952159277840958,0.0015892793741955412
cc_cvd_hf_No,0.030132427667334576,0.06346016577594817
cc_cvd_hf_Yes,9.965008852348251e-05,0.0002533740475397831
cc_cvd_any_No,8.377326614540345e-07,2.6491432805094933e-06
cc_cvd_any_Yes,0.0005539393948294913,0.0009147396900175171
DSD010AN_1,0.0018181180626193386,0.005580468225533557
DSD010AN_2,0.023548192477870534,0.07421695211331272
DSD010AN_7,0.00019895714589668662,0.0005101964956949063
DSD010AN_9,0.00064465839988168,0.0019353088469784038
DR1DRSTZ_1,0.008268261277718913,0.020072326313643103
DR1DRSTZ_2,0.0,0.0
DR1DRSTZ_5,0.00047567030391057735,0.0012016153030077396
DR1LANG_1,0.010070236175697038,0.025822404996893367
DR1LANG_2,0.00668988913715553,0.020896285860607353
DR1LANG_3,0.00017072021436263346,0.00045054412572748245
DR1LANG_4,0.0003025382729642962,0.0009352470254113579
DR1LANG_5,7.535444775986423e-05,0.00017366559447786807
DR1LANG_6,2.717767666157117e-05,8.586445392439597e-05
DS1DS_1,0.005246260669089599,0.014828479007269978
DS1DS_2,0.0015279515571210386,0.003515821630929718
DS1AN_1,0.000401473306776762,0.0007581309926536946
DS1AN_2,0.0009694046750903281,0.0028992733570678353
DR2DRSTZ_1,0.000253778793070903,0.0004891074941761807
DR2DRSTZ_2,0.0001567777714446707,0.00036968576598433897
DR2DRSTZ_5,0.0001065748568135517,0.0002065836131906036
BPAARM_1,0.00042460379924650905,0.0011327448835959878
BPAARM_2,4.4485218220900793e-05,9.436254304130192e-05
BPAARM_8,0.0041515904874277875,0.009089796698136773
BPACSZ_1,0.0007619123958529014,0.0017495842543681862
BPACSZ_2,0.00032582874268022457,0.0008013600171168765
BPACSZ_3,5.18352057988673e-05,9.603467918255707e-05
BPACSZ_4,0.0001881446615305318,0.0005376078005155819
BPACSZ_5,0.0001090840859418943,0.0002818563533076932
BPXPULS_1,0.00031748944780149717,0.0004918402205014904
BPXPULS_2,0.00037352520450818793,0.0007138641181999752
BPXPTY_1,0.00032282097689552197,0.0010102726273827215
BPXPTY_2,0.00042491168501366606,0.0012463113084952514
BPAEN1_1,0.00017601841807011638,0.0004979102622004485
BPAEN1_2,0.0005871821199965523,0.0017336028497653387
BPAEN2_1,0.00013456985618367115,0.00030355103277332056
BPAEN2_2,0.003277505791642657,0.006905422643088194
BPAEN3_1,0.0017413030840705275,0.005305961042006292
BPAEN3_2,0.00019007349862815902,0.0003386450343270663
LBXHA_1,9.92610646422726e-05,0.0001551528157555731
