Feature,Mean,Std
SEQN,0.00018998428985667051,0.00018487569889013574
svy_psu,0.0005729198563746484,0.00123428382726897
svy_strata,0.00021334105049515038,0.00053519036606176
svy_year,0.0004915564642765097,0.0014145634952642374
demo_age_years,0.0001976688215229483,0.0005589047075361763
bp_sys_mean,0.009310781739762578,0.01766739966345085
bp_dia_mean,0.0021266537261117437,0.004268930156080127
DSDCOUNT_x,0.0002452898653052147,0.0007449873603929404
DSDANCNT,3.8585555758571966e-05,6.118338740726873e-05
DR1EXMER,3.789566991426966e-05,6.793000606880385e-05
DR1DAY,4.741298514568033e-05,7.798130642973517e-05
DS1DSCNT,0.0024917842652768256,0.005948949931950489
DS1ANCNT,0.0002141450316662334,0.0006636201029148244
BMXWT,0.00012878533375657305,0.0002915073361399101
BMXHT,4.980737594195955e-05,0.00014390338101179573
BMXBMI,0.0002570794088769342,0.00047612134944016824
BMXLEG,0.0003768327767411779,0.001142604770506091
BMXARML,8.299822344997323e-05,0.00025028825576139046
BMXARMC,0.0006049371357421809,0.0013375431343670028
BMXWAIST,7.014927792385734e-05,0.00017292845097732182
BPXPLS,0.00010245372345569622,0.00019104480943387653
BPXML1,0.011652011176204992,0.036583063318877104
BPXSY1,0.00809278547372353,0.025307007579948363
BPXDI1,2.4358440169655465e-05,7.430266681026862e-05
BPXSY2,4.0992598265173e-06,7.384110482200397e-06
BPXDI2,0.000260780095047684,0.0005172398677317102
BPXSY3,0.0017243582235532053,0.004072851730810982
BPXDI3,9.285247782778862e-05,0.00018957952892726155
LBXWBCSI,5.864550662031994e-07,1.8545337545469453e-06
LBXLYPCT,0.00043141294452660216,0.0012729429838862442
LBXMOPCT,0.0014336112809711667,0.004370192626604177
LBXNEPCT,0.0003291485965344777,0.0006752195327712234
LBXEOPCT,0.00012272479637543494,0.000205709633755316
LBXBAPCT,0.0067750462704183915,0.019631811742800282
LBDLYMNO,4.268980064766652e-06,6.080485532250609e-06
LBDMONO,0.00015425648741790922,0.00048202552804843085
LBDNENO,0.0007790476420572464,0.0023713360526549103
LBDEONO,0.0002718152251763396,0.00046898995069550724
LBDBANO,0.0004134593956597986,0.0011914852395977483
LBXRBCSI,1.1665345797186974e-05,3.3930962380092286e-05
LBXHGB,1.6223826543078247e-05,3.7506360361981164e-05
LBXHCT,0.0003579686350994931,0.0007200613059448052
LBXMCVSI,0.0001655207111526691,0.000335338679771583
LBXMCHSI,0.0009388212640824448,0.0015586962074622323
LBXMC,9.568525694103247e-05,0.00017922200341255663
LBXRDW,0.00033772325197730925,0.0006574217171495748
LBXPLTSI,0.00010909023944630558,0.00022348352092673167
LBXMPSI,8.256505143221148e-05,8.072959701865288e-05
LBDTCSI,0.0005782367271380863,0.001010053761450687
LBDHDD,0.0001318568560480968,0.00030455242580787136
LBXGH,0.00013675837439350693,0.0002832174298863167
URXUMA,0.0003332410003774734,0.0008604897772984894
URXUCR,0.0009671193325109216,0.0027800427000312833
ALQ130,0.0001533948156782079,0.00024903309119245817
HOD050,7.844130327813853e-06,1.5446638961538974e-05
WHD010,0.0006407809108701352,0.001996254612056172
WHD020,4.176885750762214e-05,0.00010643639069159688
WHD050,0.001542526912578712,0.004859728200802801
WHD110,0.0006252332151244642,0.0014516868663921837
WHD120,0.0008332237402175422,0.00160182831012898
WHD130,0.0004729407632661941,0.001382891136286698
WHD140,6.138317218870113e-05,7.286259942935218e-05
demo_age_cat_18to44,0.0003146696649020609,0.000986003197863813
demo_age_cat_45to64,0.0016266013279087762,0.003761087674642707
demo_age_cat_65to74,1.7437230462570078e-05,5.458919267806341e-05
demo_age_cat_75plus,0.00010317580406703831,0.0002569463384679088
demo_race_NonplusHispanicWhite,7.95613917121874e-05,0.00022140037240749933
demo_race_NonplusHispanicBlack,0.000722838110165151,0.002247028331527639
demo_race_NonplusHispanicAsian,0.0016049370709204053,0.0042772664500909255
demo_race_Hispanic,0.01214333840661982,0.01900561458370888
demo_race_Other,6.8623290732368e-05,0.00018499486731805726
demo_race_black_No,0.0016151422021623597,0.005022749511457503
demo_race_black_Yes,0.003931305140030606,0.009551695337468498
demo_pregnant_No,0.0006999568986786467,0.0015211944000457869
demo_pregnant_Yes,6.75750024703379e-07,1.8506373295137533e-06
demo_gender_Men,0.0006511316016740543,0.0018934617313125103
demo_gender_Women,0.000778840255758168,0.0010070410482363565
bp_cat_meds_excluded_SBP120andDBP80mmHg,0.004403389897952007,0.006640310779007797
bp_cat_meds_excluded_SBPof120to130andDBP80mmHg,0.0006346755414578471,0.0010784623671913917
bp_cat_meds_excluded_SBPof130to140orDBP80to90mmHg,0.0011734750398386302,0.0018943831867326403
bp_cat_meds_excluded_SBPof140to160orDBP90to100mmHg,0.05635496432236538,0.08648898855453489
bp_cat_meds_excluded_SBP160plusorDBP100plusmmHg,0.0009776240349691429,0.0028302748388646178
bp_cat_meds_included_SBP120andDBP80mmHg,0.0012149985325417864,0.003354164259236252
bp_cat_meds_included_SBPof120to130andDBP80mmHg,5.29058012124124e-05,0.00010756977903674362
bp_cat_meds_included_SBPof130to140orDBP80to90mmHg,0.02156033891559944,0.0673069720448619
bp_cat_meds_included_SBPof140to160orDBP90to100mmHg,0.00020145530505731165,0.0004338730220222026
bp_cat_meds_included_SBP160plusorDBP100plusmmHg,0.0005648684768704501,0.0016694943012960759
bp_cat_meds_included_takingantihypertensivemedications,0.008998065621446564,0.017935049095106126
bp_med_use_No,0.07169739516734815,0.08511340752640557
bp_med_use_Yes,0.025032651699800602,0.06443898951655755
bp_med_recommended_jnc7_No,0.00825224420174647,0.01910611298885062
bp_med_recommended_jnc7_Yes,0.018064087265530056,0.05578383994633881
bp_med_recommended_accaha_No,0.016492047587937285,0.04930700312072836
bp_med_recommended_accaha_Yes,0.03851740926624662,0.06684287259719221
bp_med_n_class_None,2.264493615190968e-05,6.684210502385106e-05
bp_med_n_class_One,0.00010932141613534867,0.00022908336481011648
bp_med_n_class_Two,7.410819400186591e-05,0.0001577050812237284
bp_med_n_class_Three,0.00011392953679881925,0.00023524406844537763
bp_med_n_class_Fourormore,3.74840819468568e-05,9.156756829671784e-05
bp_med_n_pills_None,0.056094381086520415,0.08786094737507227
bp_med_n_pills_One,0.00027797313966048114,0.0006568320591030488
bp_med_n_pills_Two,0.0011779902752538413,0.0034732490327549948
bp_med_n_pills_Three,0.00034348433548837446,0.000744869503432417
bp_med_n_pills_Fourormore,9.614483721328128e-05,0.00020913981007299615
bp_med_combination_No,0.0016348864792674247,0.0034421957796708135
bp_med_combination_Yes,1.7447585369138488e-05,2.5019939070755804e-05
bp_med_pills_gteq_2_No,0.015163925509488618,0.02864947450616958
bp_med_pills_gteq_2_Yes,0.0013181762730541406,0.003785730595933276
bp_med_ace_No,0.00012191621456935575,0.00022934287226623168
bp_med_ace_Yes,0.001999796516761227,0.006094306970015554
bp_med_aldo_No,0.000447942407042119,0.0006900846886545677
bp_med_aldo_Yes,0.00018528464225283964,0.0005480571365571923
bp_med_alpha_No,0.0001323640737646666,0.0002990078737717022
bp_med_alpha_Yes,0.00034626474296194467,0.0010458185990045513
bp_med_angioten_No,0.0004592350771796492,0.0010491983883373144
bp_med_angioten_Yes,0.0010192209054060801,0.002566840218470079
bp_med_beta_No,0.0007296642136219378,0.002108720031652043
bp_med_beta_Yes,0.00014035292470188803,0.0003160439536943685
bp_med_central_No,1.9957301232550818e-06,6.223784911895639e-06
bp_med_central_Yes,0.0004279443758242451,0.001095534676348994
bp_med_ccb_No,0.03719214119880645,0.09318420022766127
bp_med_ccb_Yes,0.00030861153450551887,0.0006607139852111167
bp_med_ccb_dh_No,0.002944553625073927,0.008639643638579879
bp_med_ccb_dh_Yes,0.004046149161799435,0.010279998641359967
bp_med_ccb_ndh_No,6.34105279245517e-05,0.00015729464253836267
bp_med_ccb_ndh_Yes,0.00012107929817439576,0.00022100676957099438
bp_med_diur_Ksparing_No,0.00013671006885740083,0.0003088982302591314
bp_med_diur_Ksparing_Yes,0.0001718594109154106,0.00029960739181728426
bp_med_diur_loop_No,0.005049150561694487,0.014274440347118509
