Feature,Mean,Std
SEQN,7.145485640377781e-06,1.3733197152927036e-05
svy_psu,0.00010835851698019854,0.00015156111125616572
svy_strata,0.0007861184061690613,0.0023411076870186688
svy_year,0.0006917936569439507,0.0013811819668117923
demo_age_years,0.00035882424627067697,0.0011179096954368316
bp_sys_mean,0.02197915886306767,0.04109654693529079
bp_dia_mean,0.005598261899030393,0.01714473181004374
DSDCOUNT_x,0.000132742038350739,0.0004123721124015801
DSDANCNT,3.7468701886601e-05,8.217220243728521e-05
DR1EXMER,9.635205070426739e-05,0.00021017326309118682
DR1DAY,4.437947476738676e-05,0.00012612697873787124
DS1DSCNT,6.536730856585327e-05,0.00010635042224520863
DS1ANCNT,2.561036158071956e-07,5.399328353125958e-07
BMXWT,0.0013582387926921592,0.002945547482775481
BMXHT,0.00038736367403009763,0.001046234507399975
BMXBMI,0.00014050553516396642,0.00037068619440398706
BMXLEG,0.00030776153388458014,0.0007773608988923357
BMXARML,0.00020916420616096752,0.0005357772677489731
BMXARMC,0.00011263826951881748,0.00022786316650388766
BMXWAIST,0.0010158318683370852,0.0031938892087826055
BPXPLS,1.13411994894612e-06,2.912057860594068e-06
BPXML1,0.0064431462534765725,0.016433842009269315
BPXSY1,0.051610161851072436,0.09003636957836193
BPXDI1,0.00039503060477068713,0.001168823319660188
BPXSY2,5.367195783344922e-06,1.6929355603976312e-05
BPXDI2,1.4718342651628849e-05,3.3288877639328484e-05
BPXSY3,8.590014066835162e-05,0.0002693243435280125
BPXDI3,0.002409757264024536,0.006402599771194899
LBXWBCSI,3.362203699146411e-08,1.0632221646746182e-07
LBXLYPCT,6.783929481125512e-05,0.000170024857833608
LBXMOPCT,2.413805855426378e-05,5.9511745762158224e-05
LBXNEPCT,0.0002237105207921097,0.0007074347822455223
LBXEOPCT,0.00010107801673197171,0.0002458588278047659
LBXBAPCT,3.0585070183031208e-06,5.682450182119623e-06
LBDLYMNO,0.0003808910550060837,0.000922781375619817
LBDMONO,2.6057159609664256e-05,6.091702720741112e-05
LBDNENO,1.1115667934926024e-06,2.349329431452604e-06
LBDEONO,5.696785695591143e-05,0.00015878172233549527
LBDBANO,1.3214457190905972e-05,2.815258979347232e-05
LBXRBCSI,2.7283792622749813e-05,4.9460146492185635e-05
LBXHGB,0.00031109893926398055,0.0009023795689481541
LBXHCT,1.0702155273599375e-05,1.596256924274561e-05
LBXMCVSI,0.00015862748807946297,0.0004082390892345474
LBXMCHSI,0.00010653007271060704,0.0002699782792236886
LBXMC,1.0268773869914919e-05,2.1178801874972008e-05
LBXRDW,2.924073556105494e-05,8.192729359785315e-05
LBXPLTSI,0.00016983476881899921,0.0003488645336165783
LBXMPSI,0.00010483103984481434,0.00018905158235455217
LBDTCSI,0.0011234870109462062,0.003414287774476166
LBDHDD,0.0003685305026279278,0.000953172701156808
LBXGH,0.00012324705044035344,0.0002797826565654812
URXUMA,0.0005122690257308141,0.0013209236443260128
URXUCR,0.00021897309409969707,0.00027364828324805493
ALQ130,3.1728289236007187e-05,6.423810327687218e-05
HOD050,1.852271591210666e-05,5.857397073450025e-05
WHD010,8.824855179641576e-05,0.0001678168382112919
WHD020,0.0001237707216557925,0.00029192967237183054
WHD050,0.00014201116415092058,0.00042789815045788466
WHD110,0.0002381498408869974,0.0005118387202378947
WHD120,0.0001324663347645696,0.0003027082366939732
WHD130,6.254956463981689e-05,0.0001910610026060951
WHD140,4.324324840796405e-05,0.00011824968191630585
demo_age_cat_18to44,0.0005676970152174119,0.0010133752939066945
demo_age_cat_45to64,0.00018840589890696874,0.0005209580221106106
demo_age_cat_65to74,0.00030082002907568504,0.0009195453735841623
demo_age_cat_75plus,4.6878109344526374e-05,7.433938047695446e-05
demo_race_NonplusHispanicWhite,0.0013003982996611096,0.0033492991077386084
demo_race_NonplusHispanicBlack,1.2249281840678573e-05,2.15597336145243e-05
demo_race_NonplusHispanicAsian,7.355314404359414e-05,0.00015298864169021494
demo_race_Hispanic,0.0009209947270004355,0.0025984647031402756
demo_race_Other,0.0015937686720051878,0.003289179447125628
demo_race_black_No,6.510859111045052e-05,0.00014574507972829208
demo_race_black_Yes,0.00010343240747539159,0.00021269540995228663
demo_pregnant_No,0.0001075385125962096,0.0002713857165186681
demo_pregnant_Yes,0.00038024214524428566,0.0010963294526747484
demo_gender_Men,0.001515873956204073,0.0039036618779511017
demo_gender_Women,0.014287027121994547,0.04514427798962242
bp_cat_meds_excluded_SBP120andDBP80mmHg,0.005765222375025811,0.015343497070174147
bp_cat_meds_excluded_SBPof120to130andDBP80mmHg,6.473496186579084e-06,1.8573967307267458e-05
bp_cat_meds_excluded_SBPof130to140orDBP80to90mmHg,0.01403573592312947,0.0421935670818305
bp_cat_meds_excluded_SBPof140to160orDBP90to100mmHg,0.04515341684847497,0.06284376420995057
bp_cat_meds_excluded_SBP160plusorDBP100plusmmHg,4.375075136495512e-05,7.879618040343226e-05
bp_cat_meds_included_SBP120andDBP80mmHg,0.000947176713464408,0.00227080596886458
bp_cat_meds_included_SBPof120to130andDBP80mmHg,0.00016311061128722117,0.0002872665935114571
bp_cat_meds_included_SBPof130to140orDBP80to90mmHg,0.023760752307573775,0.05075947646202901
bp_cat_meds_included_SBPof140to160orDBP90to100mmHg,0.0004576757047429755,0.0009579786087337783
bp_cat_meds_included_SBP160plusorDBP100plusmmHg,1.8763447259383817e-07,4.007263782273448e-07
bp_cat_meds_included_takingantihypertensivemedications,0.009033219437882494,0.01682535957915188
bp_med_use_No,0.048363148528492196,0.06915858597598014
bp_med_use_Yes,0.016563966421228336,0.03758914864042764
bp_med_recommended_jnc7_No,8.297572788142791e-05,0.00023734828845858882
bp_med_recommended_jnc7_Yes,0.03114372810408998,0.060635463831439924
bp_med_recommended_accaha_No,0.025579256310989156,0.04909242149705392
bp_med_recommended_accaha_Yes,0.013482690660661859,0.02711243367734379
bp_med_n_class_None,0.006299544668842765,0.01757752271358013
bp_med_n_class_One,8.129477714381966e-05,0.000254322982512069
bp_med_n_class_Two,0.0003786393569040786,0.0011179110415635211
bp_med_n_class_Three,0.0005114620166828532,0.0013957835342467764
bp_med_n_class_Fourormore,0.00010186095078651288,0.00019782425355861303
bp_med_n_pills_None,0.06029713111066979,0.053883170268405535
bp_med_n_pills_One,0.0002452765282709128,0.0007194519902355526
bp_med_n_pills_Two,8.907775978413243e-05,0.00011674867586799474
bp_med_n_pills_Three,3.794227804330641e-05,0.00010840484118657659
bp_med_n_pills_Fourormore,0.00015087664670674063,0.0003346024095295648
bp_med_combination_No,0.008883545901715058,0.021022046792742142
bp_med_combination_Yes,0.0009826570276255668,0.0021254013919708823
bp_med_pills_gteq_2_No,0.015679830194223175,0.021857595565206035
bp_med_pills_gteq_2_Yes,0.006924067545486181,0.015096998419345578
bp_med_ace_No,0.00010944668799905745,0.0001688188421794187
bp_med_ace_Yes,0.0003404850329711254,0.0009442315379619497
bp_med_aldo_No,0.000594914040744363,0.0017040995753248053
bp_med_aldo_Yes,0.000324985514039583,0.0007579820660750064
bp_med_alpha_No,9.203012103694362e-06,1.559643655117933e-05
bp_med_alpha_Yes,1.6533220888992877e-05,3.8810047889507575e-05
bp_med_angioten_No,0.001546459760585516,0.003234432864148532
bp_med_angioten_Yes,0.00039610543303971797,0.0008401855996243646
bp_med_beta_No,0.00011746852693838372,0.00016844079978290929
bp_med_beta_Yes,0.0006163252940462529,0.0015389152954842474
bp_med_central_No,2.8832999532171055e-05,8.974956027908316e-05
bp_med_central_Yes,9.487801543562501e-05,0.00029974507402666714
bp_med_ccb_No,0.02629811580672608,0.05478726148741524
bp_med_ccb_Yes,0.00366401408331712,0.010774600733712168
