"","source","Feature","Gain","Cover","Frequency","Importance"
"1","xgb4","bp_cat_meds_excluded_SBP120andDBP80mmHg",0.51809484049667,0.084178091398077,0.0295302013422819,0.0295302013422819
"2","xgb4","bp_cat_meds_excluded_SBPof120to130andDBP80mmHg",0.475829150112248,0.0768172610641836,0.0302013422818792,0.0302013422818792
"3","xgb4","demo_age_years",0.0024291070692812,0.016141280813595,0.1,0.1
"4","xgb4","bp_med_recommended_accaha_No",0.00165664742523346,0.067934054869182,0.0865771812080537,0.0865771812080537
"5","xgb4","demo_age_cat_65to74",0.00062758355641515,0.0111462019151498,0.0389261744966443,0.0389261744966443
"6","xgb4","BMXHT",0.000340751138798515,7.2623067320737e-05,0.0221476510067114,0.0221476510067114
"7","xgb4","LBDLYMNO",0.000313271027965938,0.0516182416956623,0.0583892617449664,0.0583892617449664
"8","xgb4","LBXMCHSI",0.000290405198171651,0.144228395991748,0.0664429530201342,0.0664429530201342
"9","xgb4","BMXLEG",0.000188257314798042,0.0648505369874868,0.0859060402684564,0.0859060402684564
"10","xgb4","bp_sys_mean",8.38216988859715e-05,0.108815255380963,0.0657718120805369,0.0657718120805369
"11","xgb4","bp_dia_mean",6.60003664831406e-05,0.0278943678018098,0.0463087248322148,0.0463087248322148
"12","xgb4","HOD050",5.3176876496146e-05,0.110939776348038,0.0691275167785235,0.0691275167785235
"13","xgb4","BMXWT",5.73708377838957e-06,4.28289884199218e-05,0.0120805369127517,0.0120805369127517
"14","xgb4","BPXSY2",5.7086822562472e-06,0.0337365465344577,0.0228187919463087,0.0228187919463087
"15","xgb4","BPXSY1",4.94682423693467e-06,0.0462007978718902,0.0402684563758389,0.0402684563758389
"16","xgb4","URXUCR",4.70362371149928e-06,0.0330937731390805,0.0295302013422819,0.0295302013422819
"17","xgb4","BPXSY3",1.94788918136016e-06,0.0257698468347346,0.0375838926174497,0.0375838926174497
"18","xgb4","BMXBMI",1.74522666283745e-06,0.0141000478398108,0.0268456375838926,0.0268456375838926
