"","Year","Feature","Gain_mean","Gain_sd","Cover_mean","Cover_sd","Frequency_mean","Frequency_sd","Count"
"1","pre2013","bp_sys_mean",0.000101494168390853,0.000108314536628124,0.11356641611339,0.0332059973487239,0.0906075330194332,0.027524241614988,3
"2","pre2013","demo_age_years",0.0011833197552425,0.00129591560652235,0.00995044859578638,0.00748808075178138,0.0860643608317746,0.0373650517009887,3
"3","pre2013","HOD050",0.00012359132892171,0.000172680307354338,0.0982370421943905,0.0539335042009154,0.0693254524515418,0.03881152235139,3
"4","pre2013","URXUMA",8.01689376935793e-05,0.000116222366957059,0.0857865421044513,0.0423597953696697,0.0635247284978353,0.0255158616653402,3
"5","pre2013","BMXLEG",0.000310519105980133,0.000294274016559464,0.032600496888313,0.0231491108728478,0.0505858709064698,0.0254595795099192,3
"6","pre2013","bp_dia_mean",0.000519609797562667,0.000362288039486755,0.0251327643086934,0.0126565613137722,0.0502992819482587,0.0209716781431792,3
"7","pre2013","bp_cat_meds_excluded_SBPof120to130andDBP80mmHg",0.480758746467097,0.0115631142376701,0.108389112642051,0.0261615382029252,0.043314588402717,0.0125897083295653,3
"8","pre2013","bp_med_recommended_accaha_No",0.00174748866932813,0.00119152657963421,0.0229614956313583,0.022956523817905,0.0426339356862364,0.0145819109873874,3
"9","pre2013","bp_cat_meds_excluded_SBP120andDBP80mmHg",0.513500780954356,0.0104143794439054,0.120134013630682,0.0294856769381018,0.0423604416628676,0.0126098699607766,3
"10","pre2013","demo_age_cat_65to74",0.000575198062634894,0.000351967108275362,0.0241576046046932,0.0156172050473833,0.0422462200313227,0.0183815467525453,3
"11","pre2013","LBXMCHSI",0.000485609716727207,0.000451616191821733,0.0669366526041171,0.0348661960173429,0.0327976935638373,0.0183705684238504,3
"12","pre2013","BPXSY1",4.73868127849165e-05,0.000123239988340173,0.039549854138677,0.0386761659105244,0.0323207780213773,0.0245259606000835,3
"13","pre2013","DSDANCNT",1.4057141458182e-05,2.24459709193808e-05,0.0391379806236948,0.0300079408937055,0.0299449351032778,0.0164032376919004,3
"14","pre2013","LBDLYMNO",8.09992364942728e-05,0.00011093674970718,0.0181419208579863,0.0195193251376719,0.025967465916774,0.013902295891162,3
"15","pre2013","BPXSY3",9.2081335036389e-06,2.15738011169405e-05,0.0240319361920984,0.0255735476223863,0.0254209213381017,0.0232261086457351,3
"16","pre2013","LBXLYPCT",5.24390293998908e-05,0.000113770676109541,0.0291116342960318,0.0408265842994742,0.0234963356875771,0.0224879638973024,3
"17","pre2013","URXUCR",8.1003390607532e-05,0.000181095717061265,0.0204027791624101,0.0243170515959706,0.0231432156339773,0.0192456792913332,3
"18","pre2013","HSQ590_9",2.23845426599471e-05,3.14891989824087e-05,0.00358912270095928,0.00469211972638799,0.0216370860114436,0.0295798400388979,3
"19","pre2013","BMXWT",9.0793579439238e-06,1.33985879189702e-05,0.000162573326587688,0.000191202895388389,0.0201094484981145,0.0176168626907453,3
"20","pre2013","BMXBMI",2.03567342731996e-05,3.86860602359017e-05,0.0141041844860446,0.0179750660958796,0.0195499715234076,0.0229096117020194,3
"21","pre2013","demo_race_NonplusHispanicAsian",8.05355372154381e-05,0.000103037487315353,0.0239501107966394,0.0128569295999367,0.0194248000641519,0.0106533240517501,2
"22","pre2013","LBDMONO",1.50456072026955e-06,2.22550358339518e-06,0.0302751144779037,0.0383695005680775,0.0193082069991158,0.0196810980325286,3
"23","pre2013","BMXHT",0.00020539486882395,0.000374996109254255,0.00501596529315294,0.00715221659900697,0.0190652008142744,0.0127900156798804,3
"24","pre2013","LBXGH",9.31971788106107e-08,1.27001642085037e-07,0.0050913235919468,0.00530310813889416,0.0178941120915681,0.0129083370616958,3
"25","pre2013","DR1EXMER",2.3727244734691e-05,7.2409002997498e-05,0.0169627543851036,0.0201276519257865,0.0177981292271366,0.0155516073507215,3
"26","pre2013","INDFMMPC_7",8.29422999217148e-08,1.92859487441345e-08,0.00647591984804383,0.00439830022962488,0.0145855221805154,0.00442989439295233,2
"27","pre2013","DIQ010_3",2.83638416718376e-05,6.78805763537698e-05,0.0160865081272535,0.0260948774133462,0.013877066511961,0.0169753982303579,3
"28","pre2013","LBXMCVSI",2.33412680117362e-05,5.11348875862598e-05,0.0216226994116594,0.0278214394122226,0.0136637906110198,0.0160785510659085,3
"29","pre2013","LBXNEPCT",2.08123819540638e-05,4.24441184409447e-05,0.00769186044236928,0.00714011727117143,0.0132716280791567,0.0106385197379452,3
"30","pre2013","bp_med_aldo_No",5.69707226969968e-07,1.09312420359695e-06,0.0174303574754567,0.0209880723810127,0.0124725965247493,0.0135493537191329,2
